,자치구별,2018 총전입,2018 총전출,2018 순이동,2018 인구이동률(%)
1,평균,1439707,1549937,-110230,-3.6999999999999997
2,종로구,23187,24798,-1611,-3.4000000000000004
3,중구,20771,20873,-102,-0.2
4,용산구,37339,37801,-462,-0.6
5,성동구,51358,49012,2346,2.3
6,광진구,55728,58774,-3046,-2.7
7,동대문구,54899,57605,-2706,-2.4
8,중랑구,54168,59616,-5448,-4.8
9,성북구,57147,65477,-8330,-6.800000000000001
10,강북구,40941,45800,-4859,-5.6000000000000005
11,도봉구,39518,44213,-4695,-5.6000000000000005
12,노원구,61867,72748,-10881,-8.1
13,은평구,67489,71519,-4030,-2.9000000000000004
14,서대문구,45861,48484,-2623,-2.8000000000000003
15,마포구,60227,61071,-844,-0.7000000000000001
16,양천구,54579,62414,-7835,-6.7
17,강서구,83699,90281,-6582,-3.8
18,구로구,51108,58543,-7435,-6.800000000000001
19,금천구,33794,35508,-1714,-2.5
20,영등포구,59862,62108,-2246,-1.7999999999999998
21,동작구,65099,66105,-1006,-0.8
22,관악구,94403,96477,-2074,-1.0999999999999999
23,서초구,74658,83489,-8831,-5.6000000000000005
24,강남구,91611,106802,-15191,-7.7
25,송파구,101060,101486,-426,-0.2
26,강동구,59334,68933,-9599,-7.5
