,자치구별,1m^2 전용면적당 거래금액(만원)
0,강남구,833.0
1,강동구,520.0
2,강북구,393.0
3,강서구,470.0
4,관악구,459.0
5,광진구,667.0
6,구로구,364.0
7,금천구,403.0
8,노원구,367.0
9,도봉구,354.0
10,동대문구,516.0
11,동작구,635.0
12,마포구,591.0
13,서대문구,537.0
14,서초구,804.0
15,성동구,665.0
16,성북구,500.0
17,송파구,673.0
18,양천구,535.0
19,영등포구,555.0
20,용산구,630.0
21,은평구,448.0
22,종로구,577.0
23,중구,574.0
24,중랑구,423.0
25,평균,540.0
