,자치구별,1m^2 전용면적당 거래금액(만원)
0,강남구,2296.0
1,강동구,1322.0
2,강북구,942.0
3,강서구,1036.0
4,관악구,1045.0
5,광진구,1424.0
6,구로구,881.0
7,금천구,1014.0
8,노원구,1116.0
9,도봉구,890.0
10,동대문구,1108.0
11,동작구,1422.0
12,마포구,1567.0
13,서대문구,1219.0
14,서초구,2328.0
15,성동구,1841.0
16,성북구,1129.0
17,송파구,1965.0
18,양천구,1310.0
19,영등포구,1220.0
20,용산구,1986.0
21,은평구,1056.0
22,종로구,1175.0
23,중구,1217.0
24,중랑구,994.0
25,평균,1340.0
