,자치구별,1m^2 전용면적당 거래금액(만원)
0,강남구,1702.0
1,강동구,858.0
2,강북구,563.0
3,강서구,728.0
4,관악구,642.0
5,광진구,943.0
6,구로구,595.0
7,금천구,516.0
8,노원구,601.0
9,도봉구,504.0
10,동대문구,693.0
11,동작구,880.0
12,마포구,989.0
13,서대문구,727.0
14,서초구,1461.0
15,성동구,1048.0
16,성북구,629.0
17,송파구,1201.0
18,양천구,811.0
19,영등포구,845.0
20,용산구,1200.0
21,은평구,627.0
22,종로구,764.0
23,중구,871.0
24,중랑구,541.0
25,평균,838.0
