gu,정류장수
강남구,520
강동구,365
강북구,409
강서구,569
관악구,467
광진구,270
구로구,497
금천구,342
노원구,527
도봉구,358
동대문구,303
동작구,437
마포구,563
서대문구,454
서초구,605
성동구,445
성북구,601
송파구,414
양천구,317
영등포구,466
용산구,328
은평구,497
종로구,369
중구,200
중랑구,380
