자치구별,계약연도,계약월,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
강남구,2021.0,5.0,88.0,207220.0,2351.0
강동구,2021.0,5.0,66.0,93626.0,1437.0
강북구,2021.0,5.0,73.0,66786.0,939.0
강서구,2021.0,5.0,69.0,79163.0,1175.0
관악구,2021.0,6.0,68.0,72949.0,1089.0
광진구,2021.0,5.0,79.0,119721.0,1517.0
구로구,2021.0,5.0,65.0,62037.0,945.0
금천구,2021.0,6.0,67.0,59569.0,914.0
노원구,2021.0,5.0,62.0,67274.0,1116.0
도봉구,2021.0,5.0,67.0,58488.0,899.0
동대문구,2021.0,5.0,67.0,77557.0,1174.0
동작구,2021.0,6.0,77.0,111730.0,1670.0
마포구,2021.0,6.0,75.0,116795.0,1568.0
서대문구,2021.0,6.0,74.0,90763.0,1256.0
서초구,2021.0,5.0,96.0,205079.0,2208.0
성동구,2021.0,6.0,81.0,144546.0,1806.0
성북구,2021.0,5.0,75.0,83998.0,1144.0
송파구,2021.0,6.0,80.0,154346.0,1983.0
양천구,2021.0,5.0,77.0,103119.0,1353.0
영등포구,2021.0,6.0,71.0,101949.0,1378.0
용산구,2021.0,5.0,104.0,199106.0,1903.0
은평구,2021.0,6.0,73.0,73155.0,1042.0
종로구,2021.0,6.0,75.0,92945.0,1239.0
중구,2021.0,5.0,70.0,89991.0,1285.0
중랑구,2021.0,6.0,68.0,64494.0,969.0
평균,2021.0,,74.0,104314.0,1378.0
