,자치구별,전용면적(㎡),계약년월,거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도,계약월
130,강남구,84.943,202107,282000,3319,2021,7
131,강남구,84.94,202108,289000,3402,2021,8
132,강남구,59.967,202108,227000,3785,2021,8
133,강남구,59.967,202108,224500,3743,2021,8
134,강남구,59.897,202108,219000,3656,2021,8
135,강남구,59.897,202108,219000,3656,2021,8
136,강남구,59.897,202108,225000,3756,2021,8
137,강남구,84.94,202108,298000,3508,2021,8
138,강남구,59.967,202108,230000,3835,2021,8
139,강남구,49.909,202109,179000,3586,2021,9
140,강남구,84.943,202109,293000,3449,2021,9
141,강남구,84.943,202109,295000,3472,2021,9
142,강남구,84.94,202110,320000,3767,2021,10
143,강남구,59.888,202111,230000,3840,2021,11
144,강남구,84.94,202112,316000,3720,2021,12
145,강남구,60.0,202101,157000,2616,2021,1
146,강남구,39.53,202101,124500,3149,2021,1
147,강남구,39.53,202101,125000,3162,2021,1
148,강남구,51.12,202101,150000,2934,2021,1
149,강남구,60.0,202101,160000,2666,2021,1
150,강남구,39.53,202101,128000,3238,2021,1
151,강남구,51.12,202102,145000,2836,2021,2
152,강남구,60.0,202102,164000,2733,2021,2
153,강남구,60.0,202102,161500,2691,2021,2
154,강남구,60.0,202102,166000,2766,2021,2
155,강남구,51.12,202103,151500,2963,2021,3
156,강남구,39.53,202103,126500,3200,2021,3
157,강남구,60.0,202104,168000,2800,2021,4
158,강남구,39.53,202105,129000,3263,2021,5
159,강남구,60.0,202105,170700,2845,2021,5
160,강남구,51.12,202106,151500,2963,2021,6
161,강남구,51.12,202106,149000,2914,2021,6
162,강남구,51.12,202107,155000,3032,2021,7
163,강남구,51.12,202107,151000,2953,2021,7
164,강남구,60.0,202107,175000,2916,2021,7
165,강남구,60.0,202107,175000,2916,2021,7
166,강남구,39.53,202108,142000,3592,2021,8
167,강남구,39.53,202110,149500,3781,2021,10
168,강남구,39.53,202110,144000,3642,2021,10
169,강남구,39.53,202112,150000,3794,2021,12
170,강남구,161.07,202107,350000,2172,2021,7
171,강남구,59.67,202104,74800,1253,2021,4
172,강남구,57.93,202103,53450,922,2021,3
173,강남구,57.93,202109,59000,1018,2021,9
174,강남구,57.93,202109,64000,1104,2021,9
175,강남구,49.86,202101,150000,3008,2021,1
176,강남구,39.53,202101,127000,3212,2021,1
177,강남구,49.86,202101,139000,2787,2021,1
178,강남구,49.86,202101,153000,3068,2021,1
179,강남구,49.86,202101,145000,2908,2021,1
180,강남구,33.18,202101,108000,3254,2021,1
181,강남구,33.18,202101,111000,3345,2021,1
182,강남구,33.18,202101,111000,3345,2021,1
183,강남구,39.53,202101,133000,3364,2021,1
184,강남구,33.18,202101,108500,3270,2021,1
185,강남구,33.18,202101,109000,3285,2021,1
186,강남구,39.53,202102,127000,3212,2021,2
187,강남구,49.86,202102,145000,2908,2021,2
188,강남구,39.53,202102,135000,3415,2021,2
189,강남구,33.18,202102,114000,3435,2021,2
190,강남구,33.18,202102,108000,3254,2021,2
191,강남구,39.53,202102,131000,3313,2021,2
192,강남구,39.53,202102,128000,3238,2021,2
193,강남구,33.18,202102,109000,3285,2021,2
194,강남구,33.18,202103,105000,3164,2021,3
195,강남구,33.18,202103,109000,3285,2021,3
196,강남구,39.53,202103,136000,3440,2021,3
197,강남구,39.53,202104,127000,3212,2021,4
198,강남구,33.18,202105,108700,3276,2021,5
199,강남구,33.18,202105,114000,3435,2021,5
200,강남구,39.53,202105,127500,3225,2021,5
201,강남구,49.86,202105,152000,3048,2021,5
202,강남구,33.18,202106,110000,3315,2021,6
203,강남구,39.53,202106,135000,3415,2021,6
204,강남구,39.53,202106,135000,3415,2021,6
205,강남구,39.53,202107,137000,3465,2021,7
206,강남구,33.18,202107,110000,3315,2021,7
207,강남구,49.86,202107,159500,3198,2021,7
208,강남구,39.53,202107,139000,3516,2021,7
209,강남구,39.53,202107,140000,3541,2021,7
210,강남구,49.86,202107,168000,3369,2021,7
211,강남구,39.53,202107,140000,3541,2021,7
212,강남구,39.53,202107,135000,3415,2021,7
213,강남구,39.53,202107,135000,3415,2021,7
214,강남구,39.53,202107,136000,3440,2021,7
215,강남구,33.18,202107,120000,3616,2021,7
216,강남구,39.53,202107,139500,3528,2021,7
217,강남구,33.18,202107,115200,3471,2021,7
218,강남구,33.18,202107,117000,3526,2021,7
219,강남구,33.18,202107,120000,3616,2021,7
220,강남구,49.86,202108,169000,3389,2021,8
221,강남구,33.18,202108,119500,3601,2021,8
222,강남구,33.18,202108,119500,3601,2021,8
223,강남구,39.53,202108,141000,3566,2021,8
224,강남구,49.86,202108,170000,3409,2021,8
225,강남구,33.18,202108,125000,3767,2021,8
226,강남구,39.53,202108,102000,2580,2021,8
227,강남구,33.18,202109,124500,3752,2021,9
