자치구별,계약월,본번,부번,전용면적(㎡),계약년월,거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도
구로구,1,577.0,25.0,67.0,202101.0,60880.0,915.0,2021.0
구로구,2,507.0,19.0,68.0,202102.0,61330.0,905.0,2021.0
구로구,3,498.0,11.0,64.0,202103.0,60495.0,930.0,2021.0
구로구,4,486.0,14.0,67.0,202104.0,61201.0,913.0,2021.0
구로구,5,486.0,12.0,65.0,202105.0,63175.0,956.0,2021.0
구로구,6,436.0,12.0,57.0,202106.0,49545.0,832.0,2021.0
구로구,7,542.0,6.0,69.0,202107.0,70313.0,1021.0,2021.0
구로구,8,465.0,13.0,65.0,202108.0,67434.0,1031.0,2021.0
구로구,9,521.0,19.0,66.0,202109.0,69653.0,1029.0,2021.0
구로구,10,521.0,13.0,67.0,202110.0,68556.0,1003.0,2021.0
구로구,11,487.0,23.0,63.0,202111.0,66687.0,999.0,2021.0
구로구,12,418.0,13.0,51.0,202112.0,50423.0,910.0,2021.0
금천구,1,865.0,30.0,68.0,202101.0,58907.0,894.0,2021.0
금천구,2,839.0,4.0,69.0,202102.0,59795.0,887.0,2021.0
금천구,3,799.0,7.0,64.0,202103.0,53230.0,857.0,2021.0
금천구,4,770.0,8.0,60.0,202104.0,51658.0,873.0,2021.0
금천구,5,836.0,8.0,66.0,202105.0,56103.0,876.0,2021.0
금천구,6,733.0,47.0,68.0,202106.0,62390.0,934.0,2021.0
금천구,7,879.0,8.0,71.0,202107.0,64886.0,947.0,2021.0
금천구,8,832.0,8.0,69.0,202108.0,61707.0,924.0,2021.0
금천구,9,888.0,4.0,73.0,202109.0,69521.0,994.0,2021.0
금천구,10,860.0,10.0,68.0,202110.0,68510.0,1043.0,2021.0
금천구,11,672.0,21.0,59.0,202111.0,50089.0,886.0,2021.0
금천구,12,744.0,10.0,64.0,202112.0,54725.0,898.0,2021.0
노원구,1,597.0,1.0,62.0,202101.0,62470.0,1045.0,2021.0
노원구,2,624.0,1.0,65.0,202102.0,65047.0,1038.0,2021.0
노원구,3,587.0,4.0,61.0,202103.0,63422.0,1072.0,2021.0
노원구,4,591.0,1.0,58.0,202104.0,62987.0,1123.0,2021.0
노원구,5,624.0,1.0,59.0,202105.0,64100.0,1118.0,2021.0
노원구,6,639.0,1.0,64.0,202106.0,70514.0,1125.0,2021.0
노원구,7,667.0,1.0,64.0,202107.0,70738.0,1148.0,2021.0
노원구,8,612.0,1.0,62.0,202108.0,71204.0,1170.0,2021.0
노원구,9,593.0,1.0,64.0,202109.0,75423.0,1221.0,2021.0
노원구,10,585.0,1.0,65.0,202110.0,74688.0,1191.0,2021.0
노원구,11,611.0,1.0,65.0,202111.0,79314.0,1232.0,2021.0
노원구,12,682.0,1.0,64.0,202112.0,72395.0,1172.0,2021.0
도봉구,1,405.0,2.0,68.0,202101.0,56290.0,850.0,2021.0
도봉구,2,407.0,3.0,68.0,202102.0,54822.0,826.0,2021.0
도봉구,3,459.0,3.0,68.0,202103.0,57684.0,883.0,2021.0
도봉구,4,398.0,3.0,64.0,202104.0,55680.0,907.0,2021.0
도봉구,5,368.0,3.0,63.0,202105.0,55598.0,910.0,2021.0
도봉구,6,390.0,2.0,64.0,202106.0,55972.0,887.0,2021.0
도봉구,7,441.0,3.0,71.0,202107.0,62223.0,893.0,2021.0
도봉구,8,430.0,4.0,71.0,202108.0,67840.0,990.0,2021.0
도봉구,9,453.0,7.0,66.0,202109.0,60753.0,953.0,2021.0
도봉구,10,419.0,2.0,70.0,202110.0,64533.0,944.0,2021.0
도봉구,11,429.0,4.0,63.0,202111.0,59189.0,993.0,2021.0
도봉구,12,480.0,2.0,64.0,202112.0,63754.0,1015.0,2021.0
동대문구,1,451.0,4.0,60.0,202101.0,68926.0,1183.0,2021.0
동대문구,2,438.0,5.0,69.0,202102.0,78753.0,1157.0,2021.0
동대문구,3,424.0,4.0,67.0,202103.0,75553.0,1132.0,2021.0
동대문구,4,430.0,5.0,65.0,202104.0,70280.0,1075.0,2021.0
동대문구,5,379.0,8.0,63.0,202105.0,67239.0,1043.0,2021.0
동대문구,6,467.0,2.0,71.0,202106.0,85760.0,1220.0,2021.0
동대문구,7,391.0,3.0,73.0,202107.0,83980.0,1173.0,2021.0
동대문구,8,445.0,2.0,74.0,202108.0,90358.0,1236.0,2021.0
동대문구,9,441.0,2.0,68.0,202109.0,89325.0,1318.0,2021.0
동대문구,10,505.0,4.0,68.0,202110.0,85550.0,1263.0,2021.0
동대문구,11,481.0,4.0,61.0,202111.0,75136.0,1202.0,2021.0
동대문구,12,427.0,7.0,53.0,202112.0,63791.0,1166.0,2021.0
동작구,1,502.0,3.0,84.0,202101.0,114151.0,1392.0,2021.0
동작구,2,538.0,5.0,81.0,202102.0,114049.0,1436.0,2021.0
동작구,3,524.0,6.0,78.0,202103.0,102150.0,1334.0,2021.0
동작구,4,467.0,8.0,79.0,202104.0,109855.0,1449.0,2021.0
동작구,5,392.0,12.0,57.0,202105.0,93804.0,2738.0,2021.0
동작구,6,538.0,6.0,82.0,202106.0,112703.0,1423.0,2021.0
