,자치구별,계약연도,계약월,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
149,강남구,2020,9,73.26,205000,2798
150,강남구,2020,9,60.76,175000,2880
151,강남구,2020,9,60.76,185000,3044
152,강남구,2020,9,83.7,230000,2747
153,강남구,2020,9,60.76,185000,3044
154,강남구,2020,10,60.76,185000,3044
155,강남구,2020,10,73.26,204500,2791
156,강남구,2020,11,73.26,207000,2825
157,강남구,2020,11,83.7,240000,2867
158,강남구,2020,11,60.76,200000,3291
159,강남구,2020,11,53.46,175000,3273
160,강남구,2020,12,83.7,249000,2974
161,강남구,2020,12,83.7,240000,2867
162,강남구,2020,2,96.98,197000,2031
163,강남구,2020,6,96.98,200000,2062
164,강남구,2020,7,96.98,215000,2216
165,강남구,2020,7,96.98,210000,2165
166,강남구,2020,9,123.28,265000,2149
167,강남구,2020,9,123.28,268000,2173
168,강남구,2020,11,123.28,260000,2109
169,강남구,2020,12,123.28,265000,2149
170,강남구,2020,3,149.21,247000,1655
171,강남구,2020,6,182.2,279000,1531
172,강남구,2020,8,182.2,270000,1481
173,강남구,2020,12,186.16,315000,1692
174,강남구,2020,12,182.2,270000,1481
175,강남구,2020,8,69.55,62000,891
176,강남구,2020,9,69.55,62000,891
177,강남구,2020,1,94.29,285000,3022
178,강남구,2020,3,76.17,228000,2993
179,강남구,2020,4,84.3558,229000,2714
180,강남구,2020,5,59.8072,189000,3160
181,강남구,2020,5,76.1709,221000,2901
182,강남구,2020,5,59.7479,188000,3146
183,강남구,2020,6,84.3558,227000,2690
184,강남구,2020,6,59.8732,207000,3457
185,강남구,2020,6,59.7479,205000,3431
186,강남구,2020,6,84.3558,283000,3354
187,강남구,2020,7,76.1709,264000,3465
188,강남구,2020,7,59.87,196500,3282
189,강남구,2020,7,76.17,259000,3400
190,강남구,2020,7,84.36,270000,3200
191,강남구,2020,7,76.17,260000,3413
192,강남구,2020,8,84.357,280000,3319
193,강남구,2020,9,84.3558,270000,3200
194,강남구,2020,10,94.8407,309000,3258
195,강남구,2020,10,84.3558,289000,3425
196,강남구,2020,11,49.4013,172500,3491
197,강남구,2020,11,59.7479,217000,3631
198,강남구,2020,11,59.7479,217000,3631
199,강남구,2020,12,84.357,284000,3366
200,강남구,2020,12,76.1709,265000,3479
201,강남구,2020,12,59.8732,210000,3507
202,강남구,2020,12,76.1709,274000,3597
203,강남구,2020,12,76.1709,264000,3465
204,강남구,2020,1,59.897,188000,3138
205,강남구,2020,2,59.967,175000,2918
206,강남구,2020,2,84.943,244000,2872
207,강남구,2020,2,84.943,243000,2860
208,강남구,2020,3,84.94,263000,3096
209,강남구,2020,4,59.967,180000,3001
210,강남구,2020,4,59.967,185000,3085
211,강남구,2020,5,84.94,251000,2955
212,강남구,2020,5,84.943,230000,2707
213,강남구,2020,5,113.732,300000,2637
214,강남구,2020,5,84.95,230000,2707
215,강남구,2020,6,84.94,243000,2860
216,강남구,2020,6,84.94,251000,2955
217,강남구,2020,6,59.967,189000,3151
218,강남구,2020,6,84.943,260000,3060
219,강남구,2020,6,49.909,155000,3105
220,강남구,2020,6,49.909,155000,3105
221,강남구,2020,6,99.967,280000,2800
222,강남구,2020,6,99.919,310000,3102
223,강남구,2020,6,84.94,270000,3178
224,강남구,2020,7,99.991,290000,2900
225,강남구,2020,7,59.837,196000,3275
226,강남구,2020,7,84.943,248000,2919
227,강남구,2020,7,84.95,264000,3107
228,강남구,2020,7,99.967,280000,2800
229,강남구,2020,7,59.967,200000,3335
230,강남구,2020,7,59.967,200000,3335
231,강남구,2020,7,126.928,355000,2796
232,강남구,2020,7,84.94,265000,3119
233,강남구,2020,8,59.967,200000,3335
234,강남구,2020,8,84.943,280000,3296
235,강남구,2020,8,99.979,315000,3150
236,강남구,2020,9,59.967,197000,3285
237,강남구,2020,10,99.967,296500,2965
238,강남구,2020,10,99.991,299000,2990
239,강남구,2020,10,84.943,270000,3178
240,강남구,2020,10,59.967,195000,3251
241,강남구,2020,10,59.967,184000,3068
242,강남구,2020,12,99.991,300000,3000
243,강남구,2020,12,59.967,210000,3501
244,강남구,2020,12,84.94,265000,3119
245,강남구,2020,12,59.967,210000,3501
246,강남구,2020,3,84.16,62000,736
247,강남구,2020,6,83.62,65000,777
248,강남구,2020,8,107.88,80500,746
249,강남구,2020,1,60.0,146000,2433
250,강남구,2020,1,39.53,100500,2542
251,강남구,2020,2,39.53,100500,2542
252,강남구,2020,2,51.12,123000,2406
253,강남구,2020,2,51.12,126750,2479
254,강남구,2020,3,60.0,138000,2300
255,강남구,2020,4,39.53,103500,2618
256,강남구,2020,4,51.12,115000,2249
257,강남구,2020,5,51.12,115500,2259
258,강남구,2020,5,60.0,130300,2171
259,강남구,2020,6,60.0,132000,2200
260,강남구,2020,6,60.0,129000,2150
261,강남구,2020,6,39.53,105000,2656
262,강남구,2020,6,39.53,104000,2630
263,강남구,2020,6,39.53,100000,2529
264,강남구,2020,6,39.53,105000,2656
265,강남구,2020,6,51.12,120000,2347
266,강남구,2020,6,51.12,120000,2347
267,강남구,2020,6,51.12,130000,2543
268,강남구,2020,6,39.53,110000,2782
269,강남구,2020,6,39.53,117000,2959
270,강남구,2020,6,60.0,150000,2500
271,강남구,2020,6,60.0,150000,2500
272,강남구,2020,7,39.53,111000,2807
273,강남구,2020,7,60.0,148800,2480
274,강남구,2020,7,39.53,113000,2858
275,강남구,2020,8,60.0,154000,2566
276,강남구,2020,8,60.0,144000,2400
277,강남구,2020,9,60.0,149000,2483
278,강남구,2020,9,51.12,136000,2660
279,강남구,2020,10,60.0,153500,2558
280,강남구,2020,10,60.0,157000,2616
281,강남구,2020,11,51.12,136000,2660
282,강남구,2020,11,51.12,136000,2660
283,강남구,2020,12,39.53,119000,3010
284,강남구,2020,12,39.53,118500,2997
285,강남구,2020,12,39.53,120000,3035
286,강남구,2020,12,39.53,123000,3111
287,강남구,2020,2,161.07,215000,1334
288,강남구,2020,7,73.5,64000,870
289,강남구,2020,9,57.93,53000,914
290,강남구,2020,1,49.86,124500,2496
291,강남구,2020,1,39.53,103000,2605
292,강남구,2020,1,39.53,111000,2807
293,강남구,2020,1,39.53,107000,2706
294,강남구,2020,2,33.18,94000,2833
295,강남구,2020,2,33.18,96500,2908
296,강남구,2020,2,49.86,123500,2476
297,강남구,2020,2,49.86,125000,2507
298,강남구,2020,3,49.86,124000,2486
299,강남구,2020,3,49.86,123500,2476
300,강남구,2020,3,33.18,91000,2742
301,강남구,2020,3,39.53,102250,2586
302,강남구,2020,3,33.18,85000,2561
303,강남구,2020,4,39.53,101500,2567
304,강남구,2020,4,33.18,85000,2561
305,강남구,2020,4,33.18,85000,2561
306,강남구,2020,5,39.53,102000,2580
307,강남구,2020,5,49.86,119500,2396
308,강남구,2020,5,33.18,88100,2655
309,강남구,2020,5,33.18,87000,2622
310,강남구,2020,5,49.86,119000,2386
311,강남구,2020,5,39.53,102000,2580
312,강남구,2020,5,33.18,89000,2682
313,강남구,2020,5,49.86,118000,2366
314,강남구,2020,5,49.86,115000,2306
315,강남구,2020,5,33.18,89500,2697
316,강남구,2020,5,49.86,117500,2356
317,강남구,2020,5,49.86,120000,2406
318,강남구,2020,6,39.53,101000,2555
319,강남구,2020,6,33.18,89000,2682
320,강남구,2020,6,33.18,95000,2863
321,강남구,2020,6,33.18,87500,2637
322,강남구,2020,6,33.18,89800,2706
323,강남구,2020,6,39.53,100000,2529
324,강남구,2020,6,39.53,100000,2529
325,강남구,2020,6,39.53,110000,2782
326,강남구,2020,6,39.53,110000,2782
327,강남구,2020,6,49.86,130000,2607
328,강남구,2020,6,49.86,133000,2667
329,강남구,2020,6,49.86,135000,2707
330,강남구,2020,6,49.86,127000,2547
331,강남구,2020,7,39.53,118000,2985
332,강남구,2020,7,39.53,118000,2985
333,강남구,2020,7,39.53,121000,3060
334,강남구,2020,7,33.18,100000,3013
335,강남구,2020,7,33.18,99000,2983
336,강남구,2020,7,33.18,100000,3013
337,강남구,2020,7,33.18,102400,3086
338,강남구,2020,7,39.53,115000,2909
339,강남구,2020,7,39.53,112000,2833
340,강남구,2020,7,39.53,115000,2909
341,강남구,2020,7,49.86,136000,2727
342,강남구,2020,7,33.18,98500,2968
343,강남구,2020,8,49.86,134000,2687
344,강남구,2020,8,49.86,133000,2667
345,강남구,2020,8,33.18,91000,2742
346,강남구,2020,8,33.18,100000,3013
347,강남구,2020,8,33.18,99800,3007
348,강남구,2020,8,49.86,140000,2807
349,강남구,2020,8,39.53,120000,3035
350,강남구,2020,9,39.53,119000,3010
351,강남구,2020,9,39.53,120000,3035
352,강남구,2020,9,49.86,136000,2727
353,강남구,2020,9,33.18,96000,2893
354,강남구,2020,9,49.86,136000,2727
355,강남구,2020,9,33.18,90000,2712
356,강남구,2020,9,39.53,118500,2997
357,강남구,2020,9,33.18,99000,2983
358,강남구,2020,9,39.53,118500,2997
359,강남구,2020,9,33.18,89000,2682
360,강남구,2020,10,49.86,140000,2807
361,강남구,2020,10,39.53,124500,3149
362,강남구,2020,10,49.86,137500,2757
363,강남구,2020,10,39.53,120000,3035
364,강남구,2020,10,33.18,97000,2923
365,강남구,2020,10,33.18,97000,2923
366,강남구,2020,10,33.18,94000,2833
367,강남구,2020,10,33.18,99000,2983
368,강남구,2020,10,49.86,129500,2597
369,강남구,2020,10,39.53,119500,3023
370,강남구,2020,10,39.53,119500,3023
371,강남구,2020,10,49.86,138950,2786
