자치구별,본번,부번,전용면적(㎡),계약년월,거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도,계약월
강남구,496.0,4.0,88.0,202007.0,183946.0,2117.0,2020.0,7.0
강동구,401.0,5.0,74.0,202006.0,83823.0,1170.0,2020.0,6.0
강북구,806.0,10.0,75.0,202006.0,55942.0,771.0,2020.0,6.0
강서구,789.0,4.0,72.0,202007.0,67700.0,964.0,2020.0,7.0
관악구,1472.0,12.0,74.0,202006.0,61852.0,871.0,2020.0,6.0
광진구,503.0,6.0,84.0,202007.0,106705.0,1291.0,2020.0,7.0
구로구,529.0,14.0,71.0,202006.0,54440.0,769.0,2020.0,6.0
금천구,888.0,11.0,67.0,202007.0,47038.0,739.0,2020.0,7.0
노원구,589.0,1.0,63.0,202006.0,52201.0,844.0,2020.0,6.0
도봉구,412.0,2.0,69.0,202006.0,45698.0,675.0,2020.0,6.0
동대문구,434.0,3.0,74.0,202006.0,71189.0,995.0,2020.0,6.0
동작구,506.0,4.0,82.0,202007.0,97779.0,1230.0,2020.0,7.0
마포구,527.0,4.0,77.0,202007.0,101338.0,1344.0,2020.0,7.0
서대문구,412.0,6.0,78.0,202006.0,78548.0,1038.0,2020.0,6.0
서초구,779.0,8.0,96.0,202007.0,174956.0,1913.0,2020.0,7.0
성동구,619.0,12.0,80.0,202007.0,114341.0,1471.0,2020.0,7.0
성북구,577.0,10.0,78.0,202006.0,68692.0,914.0,2020.0,6.0
송파구,221.0,1.0,85.0,202007.0,130260.0,1601.0,2020.0,7.0
양천구,821.0,3.0,79.0,202007.0,89062.0,1143.0,2020.0,7.0
영등포구,747.0,3.0,76.0,202006.0,89836.0,1180.0,2020.0,6.0
용산구,268.0,27.0,98.0,202007.0,152261.0,1594.0,2020.0,7.0
은평구,302.0,9.0,78.0,202006.0,62445.0,827.0,2020.0,6.0
종로구,255.0,12.0,77.0,202007.0,80061.0,1034.0,2020.0,7.0
중구,833.0,44.0,84.0,202007.0,92392.0,1138.0,2020.0,7.0
중랑구,576.0,4.0,69.0,202006.0,50945.0,760.0,2020.0,6.0
평균,590.0,9.0,78.0,202007.0,88538.0,1136.0,2020.0,7.0
