,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
연도,행정구역(시군구)별,서울특별시,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2020년,시도간전출 (명),574864,8018,6446,12863,15958,20285,18949,21490,20903,14400,17327,28725,29021,17460,22035,23110,41781,28192,16945,22805,23630,38298,24026,33004,42549,26644
2021년,총전입 (명),1418187,22204,19917,36011,39831,51522,48955,52867,59054,37057,36895,58736,63269,42484,61543,54952,87269,48170,35663,60565,64257,89756,70064,94082,105181,77883
2021년,총전출 (명),1524430,24428,21126,39572,46075,56750,51031,57957,62394,42961,42682,68473,66951,47061,62124,60442,91368,54880,35047,61108,68311,95711,81777,98106,113651,74444
2021년,순이동 (명),-106243,-2224,-1209,-3561,-6244,-5228,-2076,-5090,-3340,-5904,-5787,-9737,-3682,-4577,-581,-5490,-4099,-6710,616,-543,-4054,-5955,-11713,-4024,-8470,3439
2021년,시도내이동-시군구내 (명),387416,3223,3015,7113,7867,13736,10881,19004,15232,12081,11844,18539,22712,8262,13751,15867,28004,11292,8884,11395,13934,23003,21088,25525,33451,27713
2021년,시도내이동-시군구간 전입 (명),569648,11004,10378,16799,19106,20048,20389,20585,26196,15985,15678,22295,22585,18595,26924,23326,31430,18189,12626,26801,28111,28513,29154,37476,38244,29211
2021년,시도내이동-시군구간 전출 (명),569648,13008,11274,18922,22939,22708,21435,17493,26356,17098,15237,22981,17449,21779,26899,22780,25250,17645,9594,26255,29136,34274,35450,39174,36374,18138
2021년,시도간전입 (명),461123,7977,6524,12099,12858,17738,17685,13278,17626,8991,9373,17902,17972,15627,20868,15759,27835,18689,14153,22369,22212,38240,19822,31081,33486,20959
2021년,시도간전출 (명),567366,8197,6837,13537,15269,20306,18715,21460,20806,13782,15601,26953,26790,17020,21474,21795,38114,25943,16569,23458,25241,38434,25239,33407,43826,28593
2022년,총전입 (명),1201527,19123,16738,31046,34138,45983,44531,45183,52764,31243,28791,48607,55986,43478,49721,44539,70228,44870,30153,53661,53359,87212,51077,75316,88263,55517
2022년,총전출 (명),1236867,20556,17465,32325,38153,47193,43365,45343,50725,34364,32358,53482,59509,39904,52169,49292,73672,45359,30370,53953,56607,83760,57143,76819,86137,56844
2022년,순이동 (명),-35340,-1433,-727,-1279,-4015,-1210,1166,-160,2039,-3121,-3567,-4875,-3523,3574,-2448,-4753,-3444,-489,-217,-292,-3248,3452,-6066,-1503,2126,-1327
2022년,시도내이동-시군구내 (명),302805,2433,2338,5811,6502,11426,9306,14706,12903,9204,8344,13649,19749,8029,10650,12077,20267,9949,7191,10033,10509,20756,12630,19287,26071,18985
2022년,시도내이동-시군구간 전입 (명),468146,9193,8255,14343,15383,17713,18564,17791,22114,13227,11974,17148,19254,19608,20559,18924,24556,17057,10054,22696,21501,26252,21960,29612,31370,19038
2022년,시도내이동-시군구간 전출 (명),468146,11179,9406,15305,19204,19303,18308,14151,20958,14104,11708,18242,16148,17451,23021,18728,21733,14421,8904,23237,24661,29870,25024,30518,26903,15659
2022년,시도간전입 (명),430576,7497,6145,10892,12253,16844,16661,12686,17747,8812,8473,17810,16983,15841,18512,13538,25405,17864,12908,20932,21349,40204,16487,26417,30822,17494
2022년,시도간전출 (명),465916,6944,5721,11209,12447,16464,15751,16486,16864,11056,12306,21591,23612,14424,18498,18487,31672,20989,14275,20683,21437,33134,19489,27014,33163,22200
