통계표,계정항목,단위,변환,2022,2021,2020,2019,2018,2017
"1.3.1. 한국은행 기준금리 및 여수신금리","한국은행 기준금리","연%","원자료","3.25","1.00","0.50","1.25","1.75","1.50"
"1.3.1. 한국은행 기준금리 및 여수신금리","한국은행 기준금리","%","전년말대비증감률","225.0","100.0","-60.0","-28.6","16.7","20.0"
