gu,정류장수
강남구,534
강동구,349
강북구,460
강서구,576
관악구,485
광진구,286
구로구,478
금천구,342
노원구,537
도봉구,386
동대문구,318
동작구,460
마포구,569
서대문구,444
서초구,648
성동구,439
성북구,611
송파구,413
양천구,363
영등포구,491
용산구,349
은평구,499
종로구,382
중구,207
중랑구,379
