자치구별,계약월,계약연도,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
강남구,1,2019.0,84.0,56721.0,663.0
강남구,2,2019.0,82.0,52234.0,634.0
강남구,3,2019.0,81.0,50384.0,626.0
강남구,4,2019.0,81.0,51856.0,622.0
강남구,5,2019.0,82.0,54898.0,651.0
강남구,6,2019.0,83.0,55779.0,668.0
강남구,7,2019.0,82.0,57575.0,688.0
강남구,8,2019.0,80.0,48120.0,569.0
강남구,9,2019.0,85.0,60749.0,698.0
강남구,10,2019.0,86.0,64370.0,746.0
강남구,11,2019.0,88.0,68298.0,763.0
강남구,12,2019.0,87.0,66313.0,750.0
강동구,1,2019.0,72.0,35901.0,503.0
강동구,2,2019.0,70.0,32037.0,467.0
강동구,3,2019.0,72.0,25871.0,362.0
강동구,4,2019.0,69.0,31824.0,469.0
강동구,5,2019.0,68.0,29837.0,438.0
강동구,6,2019.0,68.0,30741.0,457.0
강동구,7,2019.0,69.0,34102.0,511.0
강동구,8,2019.0,67.0,31526.0,468.0
강동구,9,2019.0,70.0,33109.0,487.0
강동구,10,2019.0,71.0,36442.0,522.0
강동구,11,2019.0,69.0,33028.0,481.0
강동구,12,2019.0,71.0,35249.0,496.0
강북구,1,2019.0,69.0,24537.0,342.0
강북구,2,2019.0,73.0,24314.0,329.0
강북구,3,2019.0,70.0,23190.0,328.0
강북구,4,2019.0,70.0,22090.0,318.0
강북구,5,2019.0,71.0,24662.0,345.0
강북구,6,2019.0,70.0,23616.0,335.0
강북구,7,2019.0,71.0,23831.0,335.0
강북구,8,2019.0,73.0,25113.0,348.0
강북구,9,2019.0,71.0,23690.0,328.0
강북구,10,2019.0,73.0,23946.0,327.0
강북구,11,2019.0,75.0,26044.0,343.0
강북구,12,2019.0,72.0,28105.0,386.0
강서구,1,2019.0,65.0,27464.0,429.0
강서구,2,2019.0,64.0,26523.0,411.0
강서구,3,2019.0,67.0,28144.0,431.0
강서구,4,2019.0,66.0,28138.0,434.0
강서구,5,2019.0,65.0,28037.0,439.0
강서구,6,2019.0,64.0,28559.0,449.0
