자치구별,계약연도,계약월,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
강남구,2019.0,7.0,83.0,57663.0,676.0
강동구,2019.0,7.0,70.0,32486.0,471.0
강북구,2019.0,7.0,72.0,24466.0,339.0
강서구,2019.0,7.0,65.0,28185.0,442.0
관악구,2019.0,7.0,66.0,25693.0,380.0
광진구,2019.0,7.0,79.0,43074.0,546.0
구로구,2019.0,7.0,66.0,24337.0,362.0
금천구,2019.0,7.0,64.0,21799.0,346.0
노원구,2019.0,7.0,60.0,19428.0,304.0
도봉구,2019.0,7.0,65.0,18898.0,282.0
동대문구,2019.0,6.0,67.0,27726.0,423.0
동작구,2019.0,6.0,77.0,38901.0,499.0
마포구,2019.0,7.0,73.0,39467.0,536.0
서대문구,2019.0,7.0,74.0,33723.0,463.0
서초구,2019.0,7.0,86.0,55172.0,638.0
성동구,2019.0,6.0,76.0,42061.0,558.0
성북구,2019.0,7.0,72.0,29827.0,415.0
송파구,2019.0,6.0,79.0,45497.0,576.0
양천구,2019.0,7.0,76.0,38283.0,483.0
영등포구,2019.0,7.0,72.0,33713.0,478.0
용산구,2019.0,7.0,87.0,46147.0,532.0
은평구,2019.0,6.0,69.0,26939.0,395.0
종로구,2019.0,6.0,71.0,39205.0,538.0
중구,2019.0,7.0,65.0,30845.0,453.0
중랑구,2019.0,7.0,62.0,22557.0,370.0
평균,2019.0,7.0,72.0,33844.0,460.0
