자치구별,계약연도,계약월,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
강남구,2022.0,6.0,80.0,66028.0,785.0
강동구,2022.0,6.0,66.0,36220.0,540.0
강북구,2022.0,6.0,60.0,23619.0,376.0
강서구,2022.0,7.0,62.0,29472.0,464.0
관악구,2022.0,7.0,61.0,28462.0,442.0
광진구,2022.0,6.0,75.0,49658.0,642.0
구로구,2022.0,6.0,65.0,25133.0,370.0
금천구,2022.0,6.0,60.0,26008.0,439.0
노원구,2022.0,6.0,58.0,21835.0,347.0
도봉구,2022.0,6.0,61.0,21016.0,323.0
동대문구,2022.0,7.0,63.0,31878.0,504.0
동작구,2022.0,6.0,73.0,44921.0,587.0
마포구,2022.0,6.0,68.0,40747.0,563.0
서대문구,2022.0,6.0,67.0,35349.0,508.0
서초구,2022.0,7.0,84.0,69713.0,813.0
성동구,2022.0,6.0,74.0,48385.0,650.0
성북구,2022.0,6.0,69.0,33251.0,470.0
송파구,2022.0,6.0,76.0,50784.0,656.0
양천구,2022.0,7.0,72.0,41923.0,541.0
영등포구,2022.0,6.0,69.0,38435.0,551.0
용산구,2022.0,7.0,78.0,46943.0,564.0
은평구,2022.0,7.0,62.0,29208.0,458.0
종로구,2022.0,6.0,69.0,38014.0,520.0
중구,2022.0,6.0,66.0,36972.0,547.0
중랑구,2022.0,6.0,59.0,23342.0,380.0
평균,2022.0,6.0,68.0,37493.0,522.0
