자치구별,계약연도,계약월,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
강남구,2021.0,7.0,81.0,69013.0,824.0
강동구,2021.0,7.0,63.0,33341.0,516.0
강북구,2021.0,7.0,66.0,27073.0,393.0
강서구,2021.0,7.0,60.0,29318.0,470.0
관악구,2021.0,7.0,64.0,30832.0,460.0
광진구,2021.0,7.0,76.0,50833.0,667.0
구로구,2021.0,7.0,62.0,24119.0,364.0
금천구,2021.0,6.0,64.0,24463.0,403.0
노원구,2021.0,7.0,59.0,23200.0,368.0
도봉구,2021.0,7.0,64.0,23372.0,355.0
동대문구,2021.0,7.0,63.0,32042.0,513.0
동작구,2021.0,7.0,75.0,48329.0,630.0
마포구,2021.0,7.0,69.0,42203.0,585.0
서대문구,2021.0,7.0,70.0,38655.0,533.0
서초구,2021.0,7.0,84.0,68946.0,796.0
성동구,2021.0,7.0,76.0,50191.0,658.0
성북구,2021.0,7.0,69.0,35134.0,497.0
송파구,2021.0,7.0,77.0,52562.0,672.0
양천구,2021.0,7.0,72.0,41534.0,535.0
영등포구,2021.0,7.0,72.0,40249.0,554.0
용산구,2021.0,7.0,86.0,55511.0,623.0
은평구,2021.0,7.0,65.0,30037.0,444.0
종로구,2021.0,7.0,69.0,41463.0,568.0
중구,2021.0,7.0,64.0,37493.0,566.0
중랑구,2021.0,7.0,60.0,25886.0,419.0
평균,2021.0,7.0,69.0,39032.0,537.0
