자치구별,계약연도,계약월,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
강남구,2020.0,7.0,83.0,66079.0,781.0
강동구,2020.0,6.0,66.0,34175.0,515.0
강북구,2020.0,6.0,69.0,27016.0,394.0
강서구,2020.0,7.0,63.0,28673.0,453.0
관악구,2020.0,6.0,64.0,27335.0,411.0
광진구,2020.0,7.0,78.0,47259.0,604.0
구로구,2020.0,7.0,64.0,24897.0,375.0
금천구,2020.0,6.0,64.0,25058.0,412.0
노원구,2020.0,6.0,60.0,21221.0,332.0
도봉구,2020.0,6.0,65.0,21142.0,314.0
동대문구,2020.0,6.0,66.0,30735.0,474.0
동작구,2020.0,7.0,75.0,43802.0,569.0
마포구,2020.0,7.0,64.0,35903.0,519.0
서대문구,2020.0,6.0,71.0,35486.0,499.0
서초구,2020.0,7.0,85.0,64811.0,760.0
성동구,2020.0,6.0,74.0,46436.0,618.0
성북구,2020.0,6.0,72.0,33860.0,462.0
송파구,2020.0,7.0,78.0,50705.0,647.0
양천구,2020.0,7.0,75.0,41331.0,527.0
영등포구,2020.0,6.0,72.0,36723.0,506.0
용산구,2020.0,7.0,87.0,50157.0,579.0
은평구,2020.0,6.0,68.0,29420.0,439.0
종로구,2020.0,6.0,65.0,33803.0,479.0
중구,2020.0,6.0,66.0,36290.0,549.0
중랑구,2020.0,6.0,60.0,23451.0,391.0
평균,2020.0,6.0,70.0,36631.0,504.0
