자치구별,본번,부번,전용면적(㎡),계약년월,거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도,계약월
강남구,498.0,5.0,88.0,202105.0,207220.0,2351.0,2021.0,5.0
강동구,415.0,5.0,66.0,202105.0,93626.0,1437.0,2021.0,5.0
강북구,742.0,11.0,73.0,202105.0,66786.0,939.0,2021.0,5.0
강서구,783.0,5.0,69.0,202105.0,79163.0,1175.0,2021.0,5.0
관악구,1437.0,12.0,68.0,202106.0,72949.0,1089.0,2021.0,6.0
광진구,497.0,7.0,79.0,202105.0,119721.0,1517.0,2021.0,5.0
구로구,500.0,15.0,65.0,202105.0,62037.0,945.0,2021.0,5.0
금천구,824.0,13.0,67.0,202106.0,59569.0,914.0,2021.0,6.0
노원구,616.0,1.0,62.0,202105.0,67274.0,1116.0,2021.0,5.0
도봉구,415.0,3.0,67.0,202105.0,58488.0,899.0,2021.0,5.0
동대문구,436.0,4.0,67.0,202105.0,77557.0,1174.0,2021.0,5.0
동작구,483.0,8.0,77.0,202106.0,111730.0,1670.0,2021.0,6.0
마포구,498.0,5.0,75.0,202106.0,116795.0,1568.0,2021.0,6.0
서대문구,422.0,8.0,74.0,202106.0,90763.0,1256.0,2021.0,6.0
서초구,807.0,9.0,96.0,202105.0,205079.0,2208.0,2021.0,5.0
성동구,590.0,15.0,81.0,202106.0,144546.0,1806.0,2021.0,6.0
성북구,548.0,20.0,75.0,202105.0,83998.0,1144.0,2021.0,5.0
송파구,257.0,1.0,80.0,202106.0,154346.0,1983.0,2021.0,6.0
양천구,828.0,2.0,77.0,202105.0,103119.0,1353.0,2021.0,5.0
영등포구,777.0,6.0,71.0,202106.0,101949.0,1378.0,2021.0,6.0
용산구,282.0,24.0,104.0,202105.0,199106.0,1903.0,2021.0,5.0
은평구,306.0,11.0,73.0,202106.0,73155.0,1042.0,2021.0,6.0
종로구,254.0,11.0,75.0,202106.0,92945.0,1239.0,2021.0,6.0
중구,731.0,80.0,70.0,202105.0,89991.0,1285.0,2021.0,5.0
중랑구,582.0,3.0,68.0,202106.0,64494.0,969.0,2021.0,6.0
평균,581.0,11.0,75.0,202105.0,103856.0,1374.0,2021.0,5.0
