자치구별,계약월,본번,부번,전용면적(㎡),계약년월,거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도
강남구,1,496.0,5.0,97.0,201801.0,147160.0,1601.0,2018.0
강남구,2,475.0,5.0,97.0,201802.0,144676.0,1564.0,2018.0
강남구,3,444.0,6.0,92.0,201803.0,142638.0,1684.0,2018.0
강남구,4,438.0,5.0,90.0,201804.0,143065.0,1638.0,2018.0
강남구,5,459.0,5.0,92.0,201805.0,142249.0,1631.0,2018.0
강남구,6,509.0,5.0,98.0,201806.0,156695.0,1604.0,2018.0
강남구,7,459.0,4.0,90.0,201807.0,155302.0,1823.0,2018.0
강남구,8,493.0,3.0,93.0,201808.0,165150.0,1864.0,2018.0
강남구,9,482.0,4.0,98.0,201809.0,171103.0,1804.0,2018.0
강남구,10,491.0,8.0,90.0,201810.0,150854.0,1713.0,2018.0
강남구,11,412.0,5.0,94.0,201811.0,154453.0,1674.0,2018.0
강남구,12,506.0,8.0,99.0,201812.0,148148.0,1476.0,2018.0
강동구,1,388.0,3.0,80.0,201801.0,64986.0,830.0,2018.0
강동구,2,397.0,4.0,79.0,201802.0,62308.0,814.0,2018.0
강동구,3,381.0,4.0,77.0,201803.0,60868.0,826.0,2018.0
강동구,4,371.0,8.0,68.0,201804.0,57052.0,874.0,2018.0
강동구,5,370.0,5.0,71.0,201805.0,55887.0,819.0,2018.0
강동구,6,336.0,4.0,78.0,201806.0,61499.0,814.0,2018.0
강동구,7,341.0,5.0,76.0,201807.0,64540.0,867.0,2018.0
강동구,8,383.0,4.0,79.0,201808.0,70785.0,911.0,2018.0
강동구,9,364.0,4.0,81.0,201809.0,71976.0,915.0,2018.0
강동구,10,366.0,4.0,77.0,201810.0,65852.0,874.0,2018.0
강동구,11,382.0,4.0,71.0,201811.0,61583.0,874.0,2018.0
강동구,12,347.0,7.0,72.0,201812.0,57742.0,816.0,2018.0
강북구,1,807.0,5.0,77.0,201801.0,40185.0,540.0,2018.0
강북구,2,780.0,9.0,75.0,201802.0,40024.0,552.0,2018.0
강북구,3,815.0,6.0,78.0,201803.0,41640.0,550.0,2018.0
강북구,4,797.0,2.0,78.0,201804.0,41856.0,555.0,2018.0
강북구,5,813.0,7.0,77.0,201805.0,40995.0,549.0,2018.0
강북구,6,723.0,2.0,75.0,201806.0,41453.0,568.0,2018.0
강북구,7,846.0,3.0,78.0,201807.0,42990.0,562.0,2018.0
강북구,8,784.0,10.0,80.0,201808.0,44359.0,571.0,2018.0
강북구,9,688.0,14.0,80.0,201809.0,45297.0,581.0,2018.0
강북구,10,573.0,16.0,74.0,201810.0,41473.0,597.0,2018.0
강북구,11,619.0,2.0,71.0,201811.0,41617.0,618.0,2018.0
강북구,12,632.0,18.0,76.0,201812.0,42465.0,581.0,2018.0
강서구,1,798.0,4.0,75.0,201801.0,51629.0,711.0,2018.0
강서구,2,781.0,4.0,76.0,201802.0,53097.0,717.0,2018.0
강서구,3,811.0,5.0,77.0,201803.0,51264.0,686.0,2018.0
강서구,4,787.0,8.0,74.0,201804.0,49628.0,692.0,2018.0
강서구,5,799.0,9.0,75.0,201805.0,51839.0,710.0,2018.0
강서구,6,806.0,8.0,73.0,201806.0,50164.0,715.0,2018.0
강서구,7,814.0,3.0,74.0,201807.0,54197.0,747.0,2018.0
강서구,8,807.0,5.0,75.0,201808.0,56495.0,766.0,2018.0
강서구,9,760.0,8.0,73.0,201809.0,55941.0,789.0,2018.0
강서구,10,728.0,17.0,73.0,201810.0,54206.0,755.0,2018.0
강서구,11,784.0,13.0,68.0,201811.0,48925.0,730.0,2018.0
강서구,12,754.0,5.0,68.0,201812.0,46229.0,685.0,2018.0
관악구,1,1534.0,7.0,75.0,201801.0,44612.0,622.0,2018.0
관악구,2,1539.0,9.0,77.0,201802.0,45472.0,616.0,2018.0
관악구,3,1532.0,10.0,76.0,201803.0,45610.0,632.0,2018.0
관악구,4,1516.0,7.0,75.0,201804.0,44855.0,616.0,2018.0
관악구,5,1475.0,14.0,78.0,201805.0,47110.0,627.0,2018.0
관악구,6,1512.0,11.0,79.0,201806.0,49434.0,651.0,2018.0
관악구,7,1525.0,19.0,81.0,201807.0,49898.0,636.0,2018.0
관악구,8,1512.0,9.0,80.0,201808.0,49574.0,642.0,2018.0
관악구,9,1385.0,18.0,76.0,201809.0,49838.0,685.0,2018.0
관악구,10,1378.0,16.0,71.0,201810.0,48893.0,718.0,2018.0
관악구,11,1300.0,14.0,68.0,201811.0,45942.0,716.0,2018.0
관악구,12,1314.0,28.0,61.0,201812.0,39950.0,715.0,2018.0
광진구,1,513.0,6.0,92.0,201801.0,78424.0,874.0,2018.0
광진구,2,524.0,8.0,88.0,201802.0,77524.0,891.0,2018.0
광진구,3,499.0,5.0,89.0,201803.0,76932.0,885.0,2018.0
광진구,4,509.0,4.0,95.0,201804.0,80142.0,872.0,2018.0
광진구,5,489.0,9.0,88.0,201805.0,71684.0,838.0,2018.0
광진구,6,546.0,6.0,86.0,201806.0,73549.0,869.0,2018.0
광진구,7,509.0,6.0,85.0,201807.0,79345.0,953.0,2018.0
광진구,8,545.0,3.0,82.0,201808.0,83483.0,1037.0,2018.0
광진구,9,525.0,4.0,83.0,201809.0,86927.0,1065.0,2018.0
광진구,10,520.0,6.0,89.0,201810.0,87042.0,1006.0,2018.0
광진구,11,468.0,3.0,92.0,201811.0,89616.0,1018.0,2018.0
광진구,12,503.0,11.0,81.0,201812.0,74543.0,905.0,2018.0
구로구,1,593.0,18.0,75.0,201801.0,43220.0,590.0,2018.0
구로구,2,570.0,16.0,74.0,201802.0,42950.0,592.0,2018.0
구로구,3,550.0,14.0,75.0,201803.0,42225.0,575.0,2018.0
구로구,4,532.0,14.0,74.0,201804.0,41791.0,572.0,2018.0
구로구,5,533.0,16.0,72.0,201805.0,40681.0,584.0,2018.0
구로구,6,557.0,12.0,73.0,201806.0,42756.0,599.0,2018.0
구로구,7,533.0,13.0,73.0,201807.0,45279.0,624.0,2018.0
구로구,8,508.0,11.0,77.0,201808.0,46001.0,605.0,2018.0
구로구,9,460.0,13.0,76.0,201809.0,44048.0,593.0,2018.0
구로구,10,412.0,15.0,72.0,201810.0,42266.0,594.0,2018.0
구로구,11,434.0,14.0,69.0,201811.0,42154.0,623.0,2018.0
구로구,12,404.0,11.0,66.0,201812.0,37910.0,600.0,2018.0
금천구,1,804.0,3.0,72.0,201801.0,34827.0,498.0,2018.0
금천구,2,840.0,4.0,75.0,201802.0,36606.0,496.0,2018.0
금천구,3,885.0,5.0,76.0,201803.0,37171.0,506.0,2018.0
금천구,4,854.0,4.0,73.0,201804.0,37132.0,532.0,2018.0
금천구,5,854.0,3.0,76.0,201805.0,36164.0,493.0,2018.0
금천구,6,948.0,3.0,76.0,201806.0,39184.0,529.0,2018.0
금천구,7,939.0,6.0,76.0,201807.0,38400.0,523.0,2018.0
금천구,8,872.0,3.0,76.0,201808.0,38436.0,522.0,2018.0
금천구,9,852.0,3.0,80.0,201809.0,38487.0,497.0,2018.0
금천구,10,877.0,4.0,76.0,201810.0,38529.0,528.0,2018.0
금천구,11,894.0,5.0,76.0,201811.0,39864.0,537.0,2018.0
금천구,12,888.0,2.0,74.0,201812.0,40970.0,587.0,2018.0
노원구,1,543.0,1.0,67.0,201801.0,38435.0,582.0,2018.0
노원구,2,549.0,1.0,66.0,201802.0,38121.0,589.0,2018.0
노원구,3,591.0,2.0,65.0,201803.0,36832.0,578.0,2018.0
노원구,4,600.0,1.0,67.0,201804.0,37780.0,579.0,2018.0
노원구,5,593.0,1.0,66.0,201805.0,36647.0,568.0,2018.0
노원구,6,578.0,1.0,69.0,201806.0,38880.0,579.0,2018.0
노원구,7,529.0,3.0,69.0,201807.0,40791.0,604.0,2018.0
노원구,8,609.0,1.0,65.0,201808.0,38490.0,607.0,2018.0
노원구,9,641.0,1.0,65.0,201809.0,39981.0,634.0,2018.0
노원구,10,637.0,4.0,68.0,201810.0,44122.0,661.0,2018.0
노원구,11,609.0,1.0,64.0,201811.0,40002.0,642.0,2018.0
노원구,12,593.0,1.0,62.0,201812.0,39346.0,656.0,2018.0
도봉구,1,424.0,1.0,71.0,201801.0,33762.0,486.0,2018.0
도봉구,2,425.0,2.0,73.0,201802.0,36073.0,505.0,2018.0
도봉구,3,451.0,2.0,74.0,201803.0,35524.0,492.0,2018.0
도봉구,4,418.0,2.0,72.0,201804.0,33800.0,479.0,2018.0
도봉구,5,468.0,2.0,74.0,201805.0,36252.0,498.0,2018.0
도봉구,6,429.0,2.0,72.0,201806.0,36583.0,514.0,2018.0
도봉구,7,419.0,2.0,73.0,201807.0,37260.0,517.0,2018.0
도봉구,8,397.0,2.0,72.0,201808.0,35280.0,501.0,2018.0
도봉구,9,443.0,2.0,73.0,201809.0,36651.0,514.0,2018.0
도봉구,10,435.0,3.0,72.0,201810.0,36969.0,534.0,2018.0
도봉구,11,431.0,3.0,72.0,201811.0,36537.0,516.0,2018.0
도봉구,12,424.0,4.0,69.0,201812.0,36688.0,535.0,2018.0
동대문구,1,407.0,1.0,82.0,201801.0,49332.0,630.0,2018.0
동대문구,2,374.0,2.0,82.0,201802.0,48908.0,622.0,2018.0
동대문구,3,366.0,3.0,78.0,201803.0,47073.0,632.0,2018.0
동대문구,4,367.0,2.0,79.0,201804.0,48946.0,651.0,2018.0
동대문구,5,324.0,12.0,76.0,201805.0,48213.0,664.0,2018.0
동대문구,6,459.0,4.0,72.0,201806.0,48944.0,713.0,2018.0
동대문구,7,388.0,2.0,74.0,201807.0,51265.0,717.0,2018.0
동대문구,8,435.0,2.0,76.0,201808.0,57698.0,780.0,2018.0
동대문구,9,443.0,2.0,77.0,201809.0,56856.0,770.0,2018.0
동대문구,10,366.0,9.0,71.0,201810.0,51106.0,741.0,2018.0
동대문구,11,367.0,9.0,59.0,201811.0,41127.0,727.0,2018.0
동대문구,12,396.0,9.0,60.0,201812.0,42513.0,751.0,2018.0
동작구,1,484.0,2.0,85.0,201801.0,67180.0,817.0,2018.0
동작구,2,469.0,5.0,83.0,201802.0,66698.0,842.0,2018.0
동작구,3,481.0,9.0,87.0,201803.0,68734.0,838.0,2018.0
동작구,4,518.0,8.0,83.0,201804.0,65405.0,830.0,2018.0
동작구,5,468.0,6.0,82.0,201805.0,65697.0,837.0,2018.0
