,자치구별,2022 총전입,2022 총전출,2022 순이동,2022 인구이동률(%)
1,평균,1201527,1236867,-35340,-1.4000000000000001
2,종로구,19123,20556,-1433,-3.5999999999999996
3,중구,16738,17465,-727,-2.1
4,용산구,31046,32325,-1279,-2.0
5,성동구,34138,38153,-4015,-5.6000000000000005
6,광진구,45983,47193,-1210,-1.3
7,동대문구,44531,43365,1166,1.3
8,중랑구,45183,45343,-160,-0.2
9,성북구,52764,50725,2039,2.0
10,강북구,31243,34364,-3121,-4.8
11,도봉구,28791,32358,-3567,-5.800000000000001
12,노원구,48607,53482,-4875,-4.8
13,은평구,55986,59509,-3523,-3.1
14,서대문구,43478,39904,3574,4.3
15,마포구,49721,52169,-2448,-2.4
16,양천구,44539,49292,-4753,-5.1
17,강서구,70228,73672,-3444,-2.4
18,구로구,44870,45359,-489,-0.5
19,금천구,30153,30370,-217,-0.4
20,영등포구,53661,53953,-292,-0.3
21,동작구,53359,56607,-3248,-3.0
22,관악구,87212,83760,3452,2.0
23,서초구,51077,57143,-6066,-5.6000000000000005
24,강남구,75316,76819,-1503,-1.0
25,송파구,88263,86137,2126,1.2
26,강동구,55517,56844,-1327,-1.2
