,자치구별,1m^2 전용면적당 거래금액(만원)
0,강남구,2051.0
1,강동구,1007.0
2,강북구,665.0
3,강서구,852.0
4,관악구,757.0
5,광진구,1105.0
6,구로구,707.0
7,금천구,619.0
8,노원구,703.0
9,도봉구,594.0
10,동대문구,840.0
11,동작구,1066.0
12,마포구,1221.0
13,서대문구,922.0
14,서초구,1755.0
15,성동구,1245.0
16,성북구,771.0
17,송파구,1440.0
18,양천구,1038.0
19,영등포구,1039.0
20,용산구,1463.0
21,은평구,729.0
22,종로구,1015.0
23,중구,1024.0
24,중랑구,660.0
25,평균,1012.0
