,자치구별,1m^2 전용면적당 거래금액(만원)
0,강남구,795.0
1,강동구,545.0
2,강북구,376.0
3,강서구,464.0
4,관악구,441.0
5,광진구,641.0
6,구로구,370.0
7,금천구,438.0
8,노원구,347.0
9,도봉구,323.0
10,동대문구,503.0
11,동작구,586.0
12,마포구,554.0
13,서대문구,512.0
14,서초구,822.0
15,성동구,658.0
16,성북구,475.0
17,송파구,662.0
18,양천구,544.0
19,영등포구,556.0
20,용산구,573.0
21,은평구,462.0
22,종로구,518.0
23,중구,545.0
24,중랑구,380.0
25,평균,524.0
