,NODE_ID,NODE_NM,NODE_TP,CENTER_YN,ADMIN_NM,REMARK,NODE_CL,NODE_SUB_TP,NODE_ENM,위도,경도,CITY_CD,DISTRICT_ID,COLLECTD_TIME,ORG_ID,ADMIN_ID,OFFSET,DIRECTION,DOWNTOWN_YN,NODE_MOBILE_ID,CITY_CODE,도시명,gu
111,SEB118000054,여의나루역,,,,,,,,37.5273043,126.931621,,,2020-09-24 07:32:12,,,,,,19139.0,11,서울특별시,영등포구
112,SEB118000055,여의나루역,,,,,,,,37.5273875,126.9320237,,,2020-09-24 07:32:12,,,,,,19140.0,11,서울특별시,영등포구
113,SEB113000052,공덕시장,,,,,,,,37.5442945,126.953997,,,2020-09-24 07:32:12,,,,,,14142.0,11,서울특별시,마포구
114,SEB113000056,한겨레신문사,,,,,,,,37.5480062,126.9590887,,,2020-09-24 07:32:12,,,,,,14146.0,11,서울특별시,마포구
115,SEB102000133,만리동고개,,,,,,,,37.5517155,126.962971,,,2020-09-24 07:32:12,,,,,,3227.0,11,서울특별시,용산구
116,SEB102000134,손기정체육공원,,,,,,,,37.5542153,126.966423,,,2020-09-24 07:32:12,,,,,,3228.0,11,서울특별시,용산구
117,SEB107000244,상진운수종점,,,,,,,,37.611267,127.065628,,,2020-09-24 07:32:12,,,,,,8342.0,11,서울특별시,성북구
118,SEB106000085,지하철7호선사가정역,,,,,,,,37.5812242,127.0884337,,,2020-09-24 07:32:12,,,,,,7179.0,11,서울특별시,중랑구
119,SEB105000145,촬영소사거리.세양청마루아파트앞,,,,,,,,37.5728708,127.0654476,,,2020-09-24 07:32:12,,,,,,6231.0,11,서울특별시,동대문구
120,SEB105000142,답십리2동한양아파트앞,,,,,,,,37.5729091,127.0612373,,,2020-09-24 07:32:12,,,,,,6228.0,11,서울특별시,동대문구
121,SEB105000132,롯데캐슬노블레스,,,,,,,,37.5755552,127.0484716,,,2020-09-24 07:32:12,,,,,,6218.0,11,서울특별시,동대문구
122,SEB102000136,남영역,,,,,,,,37.5422202,126.9709244,,,2020-09-24 07:32:12,,,,,,3230.0,11,서울특별시,용산구
123,SEB102000034,숙대입구역.청파동주민센터,,,,,,,,37.5453812,126.9707772,,,2020-09-24 07:32:12,,,,,,3128.0,11,서울특별시,용산구
124,SEB102000032,청파동,,,,,,,,37.5488115,126.970133,,,2020-09-24 07:32:12,,,,,,3126.0,11,서울특별시,용산구
