,자치구별,전용면적(㎡),계약년월,거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도,계약월
131,강남구,83.21,202011,234500,2818,2020,11
132,강남구,73.02,202011,225000,3081,2020,11
133,강남구,73.02,202011,230000,3149,2020,11
134,강남구,53.06,202011,180000,3392,2020,11
135,강남구,53.06,202011,178000,3354,2020,11
136,강남구,53.06,202011,165000,3109,2020,11
137,강남구,73.02,202012,225000,3081,2020,12
138,강남구,60.76,202001,171000,2814,2020,1
139,강남구,53.46,202002,154500,2890,2020,2
140,강남구,53.46,202005,144500,2702,2020,5
141,강남구,53.46,202005,150000,2805,2020,5
142,강남구,73.26,202005,180000,2457,2020,5
143,강남구,83.7,202006,195000,2329,2020,6
144,강남구,73.26,202006,183000,2497,2020,6
145,강남구,83.7,202007,202000,2413,2020,7
146,강남구,60.76,202008,179500,2954,2020,8
147,강남구,60.76,202008,173000,2847,2020,8
148,강남구,60.76,202008,180000,2962,2020,8
149,강남구,73.26,202009,205000,2798,2020,9
150,강남구,60.76,202009,175000,2880,2020,9
151,강남구,60.76,202009,185000,3044,2020,9
152,강남구,83.7,202009,230000,2747,2020,9
153,강남구,60.76,202009,185000,3044,2020,9
154,강남구,60.76,202010,185000,3044,2020,10
155,강남구,73.26,202010,204500,2791,2020,10
156,강남구,73.26,202011,207000,2825,2020,11
157,강남구,83.7,202011,240000,2867,2020,11
158,강남구,60.76,202011,200000,3291,2020,11
159,강남구,53.46,202011,175000,3273,2020,11
160,강남구,83.7,202012,249000,2974,2020,12
161,강남구,83.7,202012,240000,2867,2020,12
162,강남구,96.98,202002,197000,2031,2020,2
163,강남구,96.98,202006,200000,2062,2020,6
164,강남구,96.98,202007,215000,2216,2020,7
165,강남구,96.98,202007,210000,2165,2020,7
166,강남구,123.28,202009,265000,2149,2020,9
167,강남구,123.28,202009,268000,2173,2020,9
168,강남구,123.28,202011,260000,2109,2020,11
169,강남구,123.28,202012,265000,2149,2020,12
170,강남구,149.21,202003,247000,1655,2020,3
171,강남구,182.2,202006,279000,1531,2020,6
172,강남구,182.2,202008,270000,1481,2020,8
173,강남구,186.16,202012,315000,1692,2020,12
174,강남구,182.2,202012,270000,1481,2020,12
175,강남구,69.55,202008,62000,891,2020,8
176,강남구,69.55,202009,62000,891,2020,9
177,강남구,94.29,202001,285000,3022,2020,1
178,강남구,76.17,202003,228000,2993,2020,3
179,강남구,84.3558,202004,229000,2714,2020,4
180,강남구,59.8072,202005,189000,3160,2020,5
181,강남구,76.1709,202005,221000,2901,2020,5
182,강남구,59.7479,202005,188000,3146,2020,5
183,강남구,84.3558,202006,227000,2690,2020,6
184,강남구,59.8732,202006,207000,3457,2020,6
185,강남구,59.7479,202006,205000,3431,2020,6
186,강남구,84.3558,202006,283000,3354,2020,6
187,강남구,76.1709,202007,264000,3465,2020,7
188,강남구,59.87,202007,196500,3282,2020,7
189,강남구,76.17,202007,259000,3400,2020,7
190,강남구,84.36,202007,270000,3200,2020,7
191,강남구,76.17,202007,260000,3413,2020,7
192,강남구,84.357,202008,280000,3319,2020,8
193,강남구,84.3558,202009,270000,3200,2020,9
