,자치구별,계약연도,계약월,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
149,강남구,2019,8,50.64,195000,3850
150,강남구,2019,8,49.56,240000,4842
151,강남구,2019,8,41.98,182000,4335
152,강남구,2019,8,61.57,310000,5034
153,강남구,2019,8,42.55,180000,4230
154,강남구,2019,8,50.38,193000,3830
155,강남구,2019,9,49.56,225000,4539
156,강남구,2019,9,49.56,225000,4539
157,강남구,2019,9,50.64,250000,4936
158,강남구,2019,9,35.87,175000,4878
159,강남구,2019,9,58.08,182000,3133
160,강남구,2019,9,50.64,230000,4541
161,강남구,2019,9,56.57,184000,3252
162,강남구,2019,9,58.08,230000,3960
163,강남구,2019,9,50.38,193500,3840
164,강남구,2019,9,41.98,225000,5359
165,강남구,2019,9,35.64,210000,5892
166,강남구,2019,9,35.44,165000,4655
167,강남구,2019,9,56.57,305000,5391
168,강남구,2019,9,50.64,185000,3653
169,강남구,2019,9,41.98,185000,4406
170,강남구,2019,9,50.64,205000,4048
171,강남구,2019,9,42.55,187000,4394
172,강남구,2019,9,41.98,190000,4525
173,강남구,2019,9,50.64,248000,4897
174,강남구,2019,9,50.38,280000,5557
175,강남구,2019,9,49.56,213000,4297
176,강남구,2019,9,50.38,280000,5557
177,강남구,2019,9,49.56,241000,4862
178,강남구,2019,9,49.56,225000,4539
179,강남구,2019,9,56.57,257000,4543
180,강남구,2019,9,53.63,225000,4195
181,강남구,2019,9,35.64,240000,6734
182,강남구,2019,9,50.38,220000,4366
183,강남구,2019,10,41.98,180000,4287
184,강남구,2019,10,35.64,153000,4292
185,강남구,2019,10,42.55,205000,4817
186,강남구,2019,10,50.64,225000,4443
187,강남구,2019,10,42.55,207000,4864
188,강남구,2019,10,50.38,223000,4426
189,강남구,2019,10,58.08,260000,4476
190,강남구,2019,10,50.64,270000,5331
191,강남구,2019,10,42.55,205000,4817
192,강남구,2019,10,41.98,180000,4287
193,강남구,2019,10,42.55,205000,4817
194,강남구,2019,10,45.26,205000,4529
195,강남구,2019,10,41.98,205000,4883
196,강남구,2019,10,35.44,175000,4937
197,강남구,2019,10,35.87,196000,5464
198,강남구,2019,11,50.38,270000,5359
199,강남구,2019,11,50.38,219000,4346
200,강남구,2019,11,50.38,219000,4346
201,강남구,2019,11,50.64,218000,4304
