,자치구별,전용면적(㎡),계약년월,거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도,계약월
0,강남구,79.97,201801,130000,1625,2018,1
1,강남구,79.97,201801,117000,1463,2018,1
2,강남구,79.97,201801,130000,1625,2018,1
3,강남구,79.97,201803,139500,1744,2018,3
4,강남구,54.98,201804,107500,1955,2018,4
5,강남구,79.97,201806,145000,1813,2018,6
6,강남구,54.98,201807,112000,2037,2018,7
7,강남구,79.97,201808,160000,2000,2018,8
8,강남구,79.97,201809,160000,2000,2018,9
9,강남구,161.0,201801,210000,1304,2018,1
10,강남구,161.0,201802,225000,1397,2018,2
11,강남구,104.43,201807,160000,1532,2018,7
12,강남구,133.46,201807,160000,1198,2018,7
13,강남구,161.0,201807,234000,1453,2018,7
14,강남구,104.43,201808,165000,1580,2018,8
15,강남구,104.43,201808,170000,1627,2018,8
16,강남구,161.0,201808,240000,1490,2018,8
17,강남구,170.32,201801,162000,951,2018,1
18,강남구,134.3,201801,153500,1142,2018,1
19,강남구,170.32,201801,175000,1027,2018,1
20,강남구,134.3,201803,158000,1176,2018,3
21,강남구,168.42,201804,171000,1015,2018,4
22,강남구,134.3,201806,162000,1206,2018,6
23,강남구,134.3,201808,175000,1303,2018,8
24,강남구,153.8,201808,200000,1300,2018,8
25,강남구,134.3,201808,179000,1332,2018,8
26,강남구,50.38,201801,163000,3235,2018,1
27,강남구,58.08,201801,176000,3030,2018,1
28,강남구,50.64,201801,160000,3159,2018,1
29,강남구,58.08,201801,170000,2926,2018,1
30,강남구,50.64,201801,165000,3258,2018,1
31,강남구,35.87,201801,140000,3902,2018,1
32,강남구,50.64,201801,164000,3238,2018,1
33,강남구,58.08,201801,179000,3081,2018,1
34,강남구,50.38,201801,165000,3275,2018,1
35,강남구,35.87,201801,135000,3763,2018,1
36,강남구,50.38,201801,164500,3265,2018,1
37,강남구,58.08,201801,181000,3116,2018,1
38,강남구,56.57,201801,179000,3164,2018,1
39,강남구,50.38,201801,173000,3433,2018,1
40,강남구,58.08,201801,182000,3133,2018,1
41,강남구,42.55,201801,153000,3595,2018,1
42,강남구,50.38,201801,165000,3275,2018,1
43,강남구,35.64,201801,140000,3928,2018,1
44,강남구,42.55,201801,150000,3525,2018,1
45,강남구,41.98,201801,150000,3573,2018,1
46,강남구,49.56,201801,172000,3470,2018,1
47,강남구,50.38,201801,165000,3275,2018,1
48,강남구,58.08,201801,186000,3202,2018,1
49,강남구,42.55,201801,150500,3537,2018,1
50,강남구,50.64,201801,175000,3455,2018,1
51,강남구,50.64,201801,165000,3258,2018,1
52,강남구,50.38,201802,167000,3314,2018,2
53,강남구,50.64,201802,167000,3297,2018,2
54,강남구,41.98,201802,155000,3692,2018,2
55,강남구,58.08,201802,184000,3168,2018,2
56,강남구,42.55,201802,152000,3572,2018,2
57,강남구,58.08,201802,185000,3185,2018,2
58,강남구,35.64,201802,142000,3984,2018,2
59,강남구,35.87,201803,138000,3847,2018,3
60,강남구,49.56,201803,178000,3591,2018,3
61,강남구,53.63,201803,165000,3076,2018,3
62,강남구,50.38,201803,158000,3136,2018,3
63,강남구,50.38,201803,158000,3136,2018,3
64,강남구,49.56,201803,175000,3531,2018,3
65,강남구,58.08,201803,180000,3099,2018,3
66,강남구,42.55,201803,149500,3513,2018,3
67,강남구,50.38,201803,159000,3156,2018,3
68,강남구,50.38,201803,159000,3156,2018,3
69,강남구,42.55,201803,145000,3407,2018,3
70,강남구,50.38,201803,158000,3136,2018,3
