자치구별,계약연도,계약월,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
강남구,2018.0,5.0,94.0,153334.0,1702.0
강동구,2018.0,5.0,78.0,64967.0,858.0
강북구,2018.0,6.0,78.0,42267.0,563.0
강서구,2018.0,5.0,75.0,53063.0,728.0
관악구,2018.0,5.0,77.0,47147.0,642.0
광진구,2018.0,5.0,87.0,80294.0,943.0
구로구,2018.0,6.0,74.0,43341.0,595.0
금천구,2018.0,6.0,76.0,37864.0,516.0
노원구,2018.0,6.0,66.0,38808.0,601.0
도봉구,2018.0,6.0,72.0,35758.0,504.0
동대문구,2018.0,5.0,76.0,50636.0,693.0
동작구,2018.0,5.0,84.0,70567.0,880.0
마포구,2018.0,5.0,81.0,78185.0,989.0
서대문구,2018.0,5.0,80.0,56398.0,727.0
서초구,2018.0,5.0,105.0,146786.0,1461.0
성동구,2018.0,5.0,79.0,81915.0,1048.0
성북구,2018.0,5.0,81.0,49756.0,629.0
송파구,2018.0,5.0,85.0,98798.0,1201.0
양천구,2018.0,6.0,82.0,65975.0,811.0
영등포구,2018.0,5.0,79.0,66621.0,845.0
용산구,2018.0,5.0,107.0,132351.0,1200.0
은평구,2018.0,5.0,80.0,48517.0,627.0
종로구,2018.0,6.0,82.0,61515.0,764.0
중구,2018.0,5.0,83.0,68926.0,871.0
중랑구,2018.0,5.0,75.0,39455.0,541.0
평균,2018.0,,81.0,68308.0,838.0
