,자치구별,계약연도,범죄건수,정류장수,편의점수,카페수,학교수,병원수,학원수,대학교수,매매가,전월세가
76,중구,2021,282,200,212,1148,42,572,91,2.0,1285.0,566.0
77,용산구,2021,248,328,130,449,44,323,137,1.0,1903.0,623.0
78,성동구,2021,220,445,144,437,50,460,290,2.0,1806.0,658.0
79,광진구,2021,325,270,220,551,52,559,426,3.0,1517.0,667.0
80,동대문구,2021,282,303,204,427,58,596,359,4.0,1174.0,513.0
81,중랑구,2021,273,380,223,367,57,535,257,1.0,969.0,419.0
82,성북구,2021,222,601,180,524,73,533,451,6.0,1144.0,497.0
83,강북구,2021,222,409,132,251,41,467,210,0.0,939.0,393.0
84,도봉구,2021,131,358,149,281,56,366,285,1.0,899.0,355.0
85,노원구,2021,293,527,189,523,118,737,684,6.0,1116.0,368.0
86,은평구,2021,293,497,166,408,84,688,509,1.0,1042.0,444.0
87,서대문구,2021,292,454,201,496,47,437,342,6.0,1256.0,533.0
88,마포구,2021,524,563,221,906,54,762,692,2.0,1568.0,585.0
89,양천구,2021,202,317,198,425,79,651,979,0.0,1353.0,535.0
90,강서구,2021,434,569,282,984,103,887,697,1.0,1175.0,470.0
91,구로구,2021,341,497,229,474,68,583,386,3.0,945.0,364.0
92,금천구,2021,246,342,203,400,39,356,208,0.0,914.0,403.0
93,영등포구,2021,480,466,330,916,53,793,440,0.0,1378.0,554.0
94,동작구,2021,304,437,161,453,51,595,487,3.0,1670.0,630.0
95,관악구,2021,528,467,285,593,72,710,434,1.0,1089.0,460.0
96,서초구,2021,540,605,317,1004,62,1306,1146,1.0,2208.0,796.0
97,강남구,2021,946,520,615,1873,101,2790,2383,0.0,2351.0,824.0
98,송파구,2021,496,414,208,692,106,1214,1045,1.0,1983.0,672.0
99,강동구,2021,234,365,280,579,76,852,654,0.0,1437.0,516.0
