gu,정류장수
강남구,823
강동구,573
강북구,454
강서구,801
관악구,638
광진구,380
구로구,720
금천구,540
노원구,736
도봉구,448
동대문구,408
동작구,545
마포구,764
서대문구,542
서초구,962
성동구,502
성북구,670
송파구,716
양천구,491
영등포구,679
용산구,441
은평구,725
종로구,472
중구,309
중랑구,479
