gu,정류장수
강남구,548
강동구,385
강북구,448
강서구,603
관악구,485
광진구,292
구로구,513
금천구,362
노원구,544
도봉구,391
동대문구,319
동작구,447
마포구,568
서대문구,446
서초구,649
성동구,442
성북구,604
송파구,429
양천구,365
영등포구,504
용산구,344
은평구,511
종로구,375
중구,211
중랑구,380
