,정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,위도,경도,수집일시,단축아이디,도시코드,도시명,gu
50,SEB119000058,장승배기역,,,,37.5046761,126.9385221,2021/09/16 07:31:03,20151.0,11,서울특별시,동작구
51,SEB119900131,극동아파트,,,,37.5111105,126.9512098,2021/09/16 07:31:03,20859.0,11,서울특별시,동작구
52,SEB119000089,남성초등학교,,,,37.484155,126.97911,2021/09/16 07:31:03,20182.0,11,서울특별시,동작구
53,SEB119000038,흑석동한강현대아파트,,,,37.505867,126.971748,2021/09/16 07:31:03,20131.0,11,서울특별시,동작구
54,SEB119900303,수도여고,,,,37.4937241,126.9152545,2021/09/16 07:31:03,20976.0,11,서울특별시,동작구
55,SEB119900135,화성목욕탕,,,,37.4997752,126.940666,2021/09/16 07:31:03,20855.0,11,서울특별시,동작구
56,SEB119000135,상도SH빌아파트상도팰리스후문,,,,37.5025096,126.9538202,2021/09/16 07:31:03,20241.0,11,서울특별시,동작구
57,SEB119900114,신동아리버파크,,,,37.5066765,126.9477107,2021/09/16 07:31:03,20882.0,11,서울특별시,동작구
58,SEB119000075,봉천고개.관악현대아파트,,,,37.4917326,126.9565953,2021/09/16 07:31:03,20168.0,11,서울특별시,동작구
59,SEB119900078,사자암,,,,37.4937689,126.9363189,2021/09/16 07:31:03,20507.0,11,서울특별시,동작구
60,SEB119900242,신대방역,,,,37.4874273,126.9129332,2021/09/16 07:31:03,20921.0,11,서울특별시,동작구
61,SEB119900098,보라매어린이집.문창중학교,,,,37.4976606,126.9231095,2021/09/16 07:31:03,20903.0,11,서울특별시,동작구
62,SEB119900017,방범초소,,,,37.4941682,126.943742,2021/09/16 07:31:03,20584.0,11,서울특별시,동작구
63,SEB119900133,성원아파트,,,,37.5088217,126.9254188,2021/09/16 07:31:03,20857.0,11,서울특별시,동작구
64,SEB119000286,총신대입구역.남성시장입구앞,,,,37.4882168,126.9822243,2021/09/16 07:31:03,20018.0,11,서울특별시,동작구
65,SEB119000073,숭실대입구역,,,,37.4964614,126.9537334,2021/09/16 07:31:03,20166.0,11,서울특별시,동작구
66,SEB119900013,중대후문입구,,,,37.5043455,126.9501363,2021/09/16 07:31:03,20588.0,11,서울특별시,동작구
67,SEB119900014,중앙대중문,,,,37.5067385,126.957288,2021/09/16 07:31:03,20587.0,11,서울특별시,동작구
68,SEB119000128,흑석역.명수대현대아파트,,,,37.5077298,126.9646408,2021/09/16 07:31:03,20224.0,11,서울특별시,동작구
69,SEB119900166,새소망교회,,,,37.5063972,126.9420033,2021/09/16 07:31:03,20813.0,11,서울특별시,동작구
70,SEB119900124,한신아파트,,,,37.5087397,126.9512588,2021/09/16 07:31:03,20869.0,11,서울특별시,동작구
71,SEB119900298,달마사,,,,37.4996702,126.9611871,2021/09/16 07:31:03,20885.0,11,서울특별시,동작구
72,SEB119000068,상도시장,,,,37.501249,126.9495197,2021/09/16 07:31:03,20161.0,11,서울특별시,동작구
73,SEB119900196,총신대역,,,,37.4875652,126.9819723,2021/09/16 07:31:03,20705.0,11,서울특별시,동작구
74,SEB119000284,방배노인종합복지관,,,,37.480679,126.9818145,2021/09/16 07:31:03,20020.0,11,서울특별시,동작구
75,SEB119900065,대림프라자,,,,37.483926,126.9738757,2021/09/16 07:31:03,20524.0,11,서울특별시,동작구
76,SEB119000316,금양빌딩,,,,37.4995065,126.9535019,2021/09/16 07:31:03,20235.0,11,서울특별시,동작구
77,SEB119900034,선재유통,,,,37.4946581,126.9328021,2021/09/16 07:31:03,20564.0,11,서울특별시,동작구
78,SEB119900139,숭의여중고교.공군항공안전단,,,,37.5073826,126.9296959,2021/09/16 07:31:03,20850.0,11,서울특별시,동작구
