,정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,위도,경도,수집일시,단축아이디,도시코드,도시명,gu
11643,SEB121000199,우성아파트.양재초등학교,,,,37.4745422,127.031955,2021/09/16 07:31:03,22275.0,11,서울특별시,서초구
11644,SEB124000116,강동성심병원(동신중학교),,,,37.5373426,127.1352326,2021/09/16 07:31:03,25225.0,11,서울특별시,강동구
11645,SEB229001545,운정광역보건지소(중),,,,37.7294452,126.7476046,2021/09/16 07:31:03,63262.0,11,서울특별시,파주시
11646,SEB118900118,대림1동새마을금고,,,,37.493358,126.9042511,2021/09/16 07:31:03,19834.0,11,서울특별시,영등포구
11647,SEB106900004,중화동종점,,,,37.5999332,127.0826438,2021/09/16 07:31:03,7523.0,11,서울특별시,중랑구
11648,SEB116000006,구일역.제일제당.롯데마트,,,,37.4995873,126.8744648,2021/09/16 07:31:03,17006.0,11,서울특별시,구로구
11649,SEB219000295,탄현큰마을.쌍용아파트,,,,37.6993157,126.7631887,2021/09/16 07:31:03,36607.0,11,서울특별시,고양시 일산서구
11650,SEB110000287,대진여자고등학교,,,,37.6446837,127.067097,2021/09/16 07:31:03,11388.0,11,서울특별시,노원구
11651,SEB117000087,은행나무입구사거리,,,,37.4511117,126.9057879,2021/09/16 07:31:03,18173.0,11,서울특별시,금천구
11652,SEB219000249,사단앞,,,,37.6777772,126.7974066,2021/09/16 07:31:03,36143.0,11,서울특별시,고양시 일산동구
11653,SEB118000604,여의나루역,,,,37.5272703,126.932128,2021/09/16 07:31:03,19901.0,11,서울특별시,영등포구
11654,SEB103900061,충북상회,,,,37.5527922,127.0310093,2021/09/16 07:31:03,4702.0,11,서울특별시,성동구
11655,SEB120000146,구로디지털단지역,,,,37.4837645,126.9027978,2021/09/16 07:31:03,21248.0,11,서울특별시,관악구
11656,SEB113000207,한강밤섬자이아파트,,,,37.5457358,126.9277926,2021/09/16 07:31:03,14310.0,11,서울특별시,마포구
11657,SEB122900070,대왕초등학교,,,,37.4647336,127.1060868,2021/09/16 07:31:03,23543.0,11,서울특별시,강남구
11658,SEB117900136,벽산3단지앞,,,,37.4526689,126.9166899,2021/09/16 07:31:03,18847.0,11,서울특별시,금천구
11659,SEB219000179,중산마을2단지.해태쇼핑.코오롱,,,,37.6934931,126.7788298,2021/09/16 07:31:03,36641.0,11,서울특별시,고양시 일산동구
11660,SEB106000159,지하철7호선중화역3번출구,,,,37.6014504,127.0789975,2021/09/16 07:31:03,7254.0,11,서울특별시,중랑구
11661,SEB119900310,남성초등학교입구,,,,37.4837563,126.9769232,2021/09/16 07:31:03,20496.0,11,서울특별시,동작구
11662,SEB118900159,동양아파트,,,,37.541761,126.89027,2021/09/16 07:31:03,19794.0,11,서울특별시,영등포구
11663,SEB108000193,우이동도선사입구,,,,37.6631049,127.01273,2021/09/16 07:31:03,9286.0,11,서울특별시,강북구
11664,SEB120000457,서원동승리교앞,,,,37.4815949,126.9297457,2021/09/16 07:31:03,21369.0,11,서울특별시,관악구
11665,SEB119000034,흑석역.명수대현대아파트,,,,37.507585,126.9655921,2021/09/16 07:31:03,20127.0,11,서울특별시,동작구
11666,SEB123000007,송파역,,,,37.5002084,127.1118384,2021/09/16 07:31:03,24007.0,11,서울특별시,송파구
11667,SEB115000944,서울식물원.숲문화학교,,,,37.5661198,126.8346856,2021/09/16 07:31:03,16619.0,11,서울특별시,강서구
11668,SEB100900145,배화여중고,,,,37.5767556,126.9678156,2021/09/16 07:31:03,1796.0,11,서울특별시,종로구
11669,SEB118000222,영등포로터리,,,,37.5186134,126.9103719,2021/09/16 07:31:03,19313.0,11,서울특별시,영등포구
