,정류소번호,정류소명,X좌표,Y좌표,gu
0,1001,종로2가사거리,126.9877498816,37.5697651251,종로구
1,1002,창경궁.서울대학교병원,126.9965660023,37.5791830159,종로구
2,1003,명륜3가.성대입구,126.9983401004,37.5826711749,종로구
3,1004,종로2가.삼일교,126.9876130976,37.5685792736,종로구
4,1005,혜화동로터리,127.001744,37.586243,종로구
5,1006,서대문역사거리,126.966893,37.566137,종로구
6,1007,서울역사박물관.경희궁앞,126.97038,37.569135,종로구
7,1008,서울역사박물관.경희궁앞,126.970609,37.569412,종로구
8,1009,광화문,126.9752507511,37.570135474,종로구
9,1010,광화문,126.978085488,37.570216807,종로구
10,1011,종로1가,126.9809105247,37.5701184824,종로구
11,1012,종로1가,126.9813906402,37.5702290311,종로구
12,1013,종로2가,126.9855426998,37.5701386788,종로구
13,1014,종로2가,126.9862474502,37.5702571998,종로구
14,1015,종로3가.탑골공원,126.9895646721,37.5702449756,종로구
15,1016,종로3가.탑골공원,126.9899877751,37.5703605443,종로구
16,1017,종로4가.종묘,126.9947218896,37.5705069968,종로구
17,1018,종로4가.종묘,126.9952838124,37.5706271118,종로구
18,1019,종로5가.광장시장,126.9988498093,37.570756793,종로구
19,1020,종로5가.광장시장,126.9993346185,37.5708806279,종로구
20,1021,종로6가.동대문종합시장,127.0034638793,37.5709624756,종로구
21,1022,종로6가.동대문종합시장,127.0057137364,37.5711272339,종로구
22,1023,동대문역.흥인지문,127.0134512388,37.5723023219,종로구
23,1037,동대문(흥인지문),127.0120461121,37.5719529259,종로구
24,1041,동묘앞,127.0184514373,37.5737255179,종로구
25,1044,동묘앞,127.0196720085,37.5742434484,종로구
26,1101,경기상고,126.9693634554,37.5875502159,종로구
27,1102,신교동,126.9702653687,37.5832657654,종로구
28,1103,경기상고,126.9697701102,37.5871907861,종로구
29,1104,경복고교,126.9710436571,37.585113193,종로구
30,1105,청운중학교,126.9725135095,37.5878519552,종로구
31,1106,자하문고개.윤동주문학관,126.9671261805,37.5921866176,종로구
32,1107,자하문고개.윤동주문학관,126.9671906625,37.5923353152,종로구
33,1108,청운중학교,126.9724613198,37.5881285775,종로구
34,1109,경복고교,126.9711546793,37.5849663426,종로구
35,1110,통인시장종로구보건소,126.9710500404,37.5803257033,종로구
36,1111,통인시장종로구보건소,126.9713851083,37.5805132118,종로구
37,1112,효자동,126.9706209712,37.583091043,종로구
38,1113,사직단,126.9679907155,37.5751355316,종로구
39,1114,사직동주민센터,126.9713244962,37.5761834563,종로구
40,1115,경복궁역,126.97219601,37.5768666917,종로구
41,1116,경복궁역,126.9722828893,37.5776713863,종로구
42,1117,경복궁,126.9787471496,37.5755767894,종로구
43,1118,KT광화문지사,126.9773193291,37.5724064843,종로구
44,1120,광화문,126.9763838838,37.569845398,종로구
45,1123,서울역사박물관.경교장.강북삼성병원,126.971248,37.570023,종로구
46,1125,광화문,126.975837,37.570365,종로구
47,1126,세종문화회관,126.9765652658,37.5726577416,종로구
48,1127,서울지방경찰청.경복궁역,126.9714842989,37.5757446636,종로구
49,1128,사직단,126.968188961,37.5748553458,종로구
50,1129,광화문광화문빌딩,126.9765458935,37.569450752,종로구
51,1130,덕성여중고,126.9819692323,37.5757260055,종로구
