,계약연월,자치구별,CoffeeShop
210,2017-9,동대문구,346
211,2017-9,용산구,379
212,2017-9,중랑구,234
213,2017-9,강북구,203
214,2017-9,동작구,397
215,2017-9,은평구,352
216,2017-9,강서구,665
217,2017-9,강동구,383
218,2017-9,도봉구,199
219,2017-9,금천구,289
220,2017-9,양천구,352
221,2017-9,관악구,436
222,2017-9,노원구,399
223,2017-9,성동구,299
224,2017-9,광진구,302
225,2017-10,구로구,399
226,2017-10,서초구,925
227,2017-10,영등포구,754
228,2017-10,서대문구,443
229,2017-10,강남구,1585
230,2017-10,중구,1021
231,2017-10,송파구,431
232,2017-10,종로구,831
233,2017-10,마포구,911
234,2017-10,성북구,382
235,2017-10,동대문구,350
236,2017-10,용산구,370
237,2017-10,중랑구,239
238,2017-10,강북구,203
239,2017-10,동작구,393
240,2017-10,은평구,349
241,2017-10,강서구,650
242,2017-10,강동구,380
243,2017-10,도봉구,203
244,2017-10,금천구,289
245,2017-10,양천구,364
246,2017-10,관악구,430
247,2017-10,노원구,396
248,2017-10,성동구,295
249,2017-10,광진구,301
250,2017-11,구로구,401
251,2017-11,서초구,929
252,2017-11,영등포구,760
253,2017-11,서대문구,448
254,2017-11,강남구,1590
255,2017-11,중구,1026
256,2017-11,송파구,437
257,2017-11,종로구,837
258,2017-11,마포구,915
259,2017-11,성북구,388
260,2017-11,동대문구,348
261,2017-11,용산구,378
262,2017-11,중랑구,239
263,2017-11,강북구,204
264,2017-11,동작구,398
265,2017-11,은평구,355
266,2017-11,강서구,662
267,2017-11,강동구,384
268,2017-11,도봉구,203
269,2017-11,금천구,288
270,2017-11,양천구,358
271,2017-11,관악구,433
272,2017-11,노원구,398
273,2017-11,성동구,299
274,2017-11,광진구,298
275,2017-12,구로구,404
276,2017-12,서초구,929
277,2017-12,영등포구,766
278,2017-12,서대문구,448
279,2017-12,강남구,1589
280,2017-12,중구,1034
281,2017-12,송파구,440
282,2017-12,종로구,838
283,2017-12,마포구,916
284,2017-12,성북구,391
285,2017-12,동대문구,346
286,2017-12,용산구,379
287,2017-12,중랑구,234
288,2017-12,강북구,203
289,2017-12,동작구,397
290,2017-12,은평구,352
291,2017-12,강서구,665
292,2017-12,강동구,383
293,2017-12,도봉구,199
294,2017-12,금천구,289
295,2017-12,양천구,352
296,2017-12,관악구,436
297,2017-12,노원구,399
298,2017-12,성동구,299
299,2017-12,광진구,302
300,2018-1,구로구,407
301,2018-1,서초구,942
302,2018-1,영등포구,807
303,2018-1,서대문구,477
304,2018-1,강남구,1674
305,2018-1,중구,1054
306,2018-1,송파구,476
307,2018-1,종로구,869
308,2018-1,마포구,964
309,2018-1,성북구,426
310,2018-1,동대문구,379
311,2018-1,용산구,390
312,2018-1,중랑구,250
313,2018-1,강북구,212
314,2018-1,동작구,414
315,2018-1,은평구,379
316,2018-1,강서구,728
317,2018-1,강동구,417
318,2018-1,도봉구,226
319,2018-1,금천구,311
320,2018-1,양천구,357
321,2018-1,관악구,471
322,2018-1,노원구,427
323,2018-1,성동구,336
324,2018-1,광진구,357
325,2018-2,구로구,405
326,2018-2,서초구,943
327,2018-2,영등포구,798
328,2018-2,서대문구,492
329,2018-2,강남구,1675
330,2018-2,중구,1072
331,2018-2,송파구,441
332,2018-2,종로구,876
333,2018-2,마포구,941
334,2018-2,성북구,431
335,2018-2,동대문구,395
336,2018-2,용산구,391
337,2018-2,중랑구,246
338,2018-2,강북구,211
339,2018-2,동작구,416
340,2018-2,은평구,387
341,2018-2,강서구,748
342,2018-2,강동구,414
343,2018-2,도봉구,228
344,2018-2,금천구,323
345,2018-2,양천구,356
346,2018-2,관악구,479
347,2018-2,노원구,432
348,2018-2,성동구,344
349,2018-2,광진구,374
350,2018-3,구로구,405
351,2018-3,서초구,943
352,2018-3,영등포구,798
353,2018-3,서대문구,492
354,2018-3,강남구,1675
355,2018-3,중구,1072
356,2018-3,송파구,441
357,2018-3,종로구,876
358,2018-3,마포구,941
359,2018-3,성북구,431
360,2018-3,동대문구,395
361,2018-3,용산구,391
362,2018-3,중랑구,246
363,2018-3,강북구,211
364,2018-3,동작구,416
365,2018-3,은평구,387
366,2018-3,강서구,748
367,2018-3,강동구,414
368,2018-3,도봉구,228
369,2018-3,금천구,323
370,2018-3,양천구,356
371,2018-3,관악구,479
372,2018-3,노원구,432
373,2018-3,성동구,344
374,2018-3,광진구,374
375,2018-4,구로구,405
376,2018-4,서초구,943
