자치구별,고등학교수
강남구,22
강동구,14
강북구,7
강서구,23
관악구,17
광진구,9
구로구,14
금천구,6
노원구,25
도봉구,10
동대문구,11
동작구,7
마포구,9
서대문구,7
서초구,11
성동구,9
성북구,13
송파구,20
양천구,15
영등포구,9
용산구,10
은평구,18
종로구,14
중구,11
중랑구,10
