자치구별,계약월,계약연도,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
강남구,1,2022.0,83.0,67508.0,798.0
강남구,2,2022.0,80.0,65377.0,783.0
강남구,3,2022.0,77.0,62944.0,748.0
강남구,4,2022.0,78.0,64955.0,792.0
강남구,5,2022.0,77.0,56035.0,677.0
강남구,6,2022.0,77.0,63414.0,785.0
강남구,7,2022.0,81.0,69462.0,824.0
강남구,8,2022.0,81.0,72511.0,848.0
강남구,9,2022.0,81.0,70998.0,843.0
강남구,10,2022.0,82.0,73067.0,853.0
강남구,11,2022.0,82.0,67818.0,778.0
강남구,12,2022.0,81.0,63240.0,741.0
강동구,1,2022.0,70.0,42070.0,621.0
강동구,2,2022.0,66.0,37272.0,556.0
강동구,3,2022.0,63.0,31900.0,466.0
강동구,4,2022.0,67.0,37236.0,547.0
강동구,5,2022.0,64.0,33391.0,497.0
강동구,6,2022.0,67.0,37407.0,557.0
강동구,7,2022.0,65.0,35844.0,550.0
강동구,8,2022.0,65.0,39036.0,603.0
강동구,9,2022.0,67.0,39433.0,592.0
강동구,10,2022.0,69.0,40249.0,592.0
강동구,11,2022.0,68.0,34331.0,504.0
강동구,12,2022.0,63.0,30355.0,460.0
강북구,1,2022.0,61.0,23957.0,353.0
강북구,2,2022.0,56.0,21366.0,379.0
강북구,3,2022.0,54.0,20867.0,368.0
강북구,4,2022.0,62.0,27432.0,468.0
강북구,5,2022.0,61.0,26133.0,441.0
강북구,6,2022.0,56.0,21993.0,341.0
강북구,7,2022.0,56.0,18592.0,288.0
강북구,8,2022.0,64.0,25203.0,373.0
강북구,9,2022.0,66.0,27463.0,409.0
강북구,10,2022.0,68.0,27243.0,397.0
강북구,11,2022.0,65.0,23573.0,354.0
강북구,12,2022.0,67.0,24978.0,377.0
강서구,1,2022.0,60.0,31954.0,513.0
강서구,2,2022.0,63.0,32100.0,512.0
강서구,3,2022.0,61.0,29476.0,474.0
강서구,4,2022.0,61.0,30433.0,493.0
강서구,5,2022.0,58.0,30212.0,511.0
강서구,6,2022.0,61.0,32580.0,531.0
