자치구별,계약월,계약연도,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
강남구,1,2018.0,85.0,55732.0,650.0
강남구,2,2018.0,83.0,57148.0,674.0
강남구,3,2018.0,82.0,54915.0,652.0
강남구,4,2018.0,83.0,55645.0,659.0
강남구,5,2018.0,83.0,52708.0,616.0
강남구,6,2018.0,85.0,57122.0,669.0
강남구,7,2018.0,84.0,57467.0,676.0
강남구,8,2018.0,84.0,56639.0,663.0
강남구,9,2018.0,85.0,56353.0,661.0
강남구,10,2018.0,86.0,58746.0,669.0
강남구,11,2018.0,83.0,50059.0,586.0
강남구,12,2018.0,87.0,61254.0,693.0
강동구,1,2018.0,70.0,33800.0,476.0
강동구,2,2018.0,71.0,31660.0,429.0
강동구,3,2018.0,74.0,34799.0,476.0
강동구,4,2018.0,70.0,32761.0,468.0
강동구,5,2018.0,69.0,30715.0,447.0
강동구,6,2018.0,72.0,32238.0,447.0
강동구,7,2018.0,72.0,33466.0,465.0
강동구,8,2018.0,74.0,36070.0,486.0
강동구,9,2018.0,73.0,34977.0,474.0
강동구,10,2018.0,73.0,34844.0,467.0
강동구,11,2018.0,74.0,36267.0,492.0
강동구,12,2018.0,73.0,37802.0,518.0
강북구,1,2018.0,73.0,21806.0,294.0
강북구,2,2018.0,71.0,24272.0,329.0
강북구,3,2018.0,74.0,25324.0,337.0
강북구,4,2018.0,73.0,24931.0,341.0
강북구,5,2018.0,73.0,25047.0,337.0
강북구,6,2018.0,71.0,25923.0,361.0
강북구,7,2018.0,70.0,22042.0,304.0
강북구,8,2018.0,73.0,24677.0,329.0
강북구,9,2018.0,72.0,26491.0,362.0
강북구,10,2018.0,74.0,26277.0,350.0
강북구,11,2018.0,74.0,25195.0,333.0
강북구,12,2018.0,71.0,25233.0,349.0
강서구,1,2018.0,68.0,28261.0,417.0
강서구,2,2018.0,66.0,27550.0,417.0
강서구,3,2018.0,69.0,28114.0,406.0
강서구,4,2018.0,68.0,27900.0,414.0
강서구,5,2018.0,68.0,27609.0,401.0
강서구,6,2018.0,69.0,29114.0,419.0
강서구,7,2018.0,68.0,25691.0,370.0
강서구,8,2018.0,70.0,28100.0,399.0
강서구,9,2018.0,70.0,30485.0,426.0
강서구,10,2018.0,70.0,29733.0,417.0
강서구,11,2018.0,67.0,26936.0,390.0
강서구,12,2018.0,68.0,29012.0,416.0
관악구,1,2018.0,60.0,22179.0,344.0
관악구,2,2018.0,63.0,23302.0,340.0
관악구,3,2018.0,70.0,27020.0,380.0
관악구,4,2018.0,67.0,24040.0,346.0
관악구,5,2018.0,66.0,23556.0,348.0
관악구,6,2018.0,64.0,24143.0,364.0
관악구,7,2018.0,65.0,26145.0,391.0
관악구,8,2018.0,66.0,25355.0,371.0
관악구,9,2018.0,68.0,27617.0,402.0
관악구,10,2018.0,66.0,26640.0,386.0
관악구,11,2018.0,66.0,25921.0,373.0
관악구,12,2018.0,66.0,26096.0,378.0
광진구,1,2018.0,78.0,41504.0,528.0
광진구,2,2018.0,81.0,40314.0,500.0
광진구,3,2018.0,85.0,44048.0,532.0
광진구,4,2018.0,86.0,45119.0,530.0
광진구,5,2018.0,78.0,40409.0,534.0
광진구,6,2018.0,82.0,41628.0,507.0
광진구,7,2018.0,81.0,42220.0,521.0
광진구,8,2018.0,80.0,44899.0,569.0
광진구,9,2018.0,80.0,44133.0,561.0
광진구,10,2018.0,80.0,45023.0,578.0
광진구,11,2018.0,79.0,43255.0,550.0
광진구,12,2018.0,77.0,40875.0,521.0
구로구,1,2018.0,66.0,24570.0,365.0
구로구,2,2018.0,63.0,23505.0,360.0
구로구,3,2018.0,63.0,23066.0,350.0
구로구,4,2018.0,66.0,22017.0,328.0
구로구,5,2018.0,66.0,22841.0,338.0
구로구,6,2018.0,66.0,23369.0,350.0
구로구,7,2018.0,67.0,24229.0,348.0
구로구,8,2018.0,65.0,24456.0,364.0
구로구,9,2018.0,69.0,26650.0,383.0
구로구,10,2018.0,67.0,25651.0,371.0
구로구,11,2018.0,66.0,25446.0,380.0
구로구,12,2018.0,65.0,25621.0,396.0
금천구,1,2018.0,68.0,20350.0,293.0
금천구,2,2018.0,62.0,19950.0,327.0
금천구,3,2018.0,65.0,20033.0,320.0
금천구,4,2018.0,66.0,17916.0,268.0
금천구,5,2018.0,64.0,17056.0,264.0
금천구,6,2018.0,66.0,20114.0,306.0
금천구,7,2018.0,62.0,19239.0,291.0
금천구,8,2018.0,63.0,21476.0,361.0
금천구,9,2018.0,61.0,21845.0,363.0
금천구,10,2018.0,60.0,21766.0,376.0
금천구,11,2018.0,62.0,22997.0,382.0
금천구,12,2018.0,66.0,24956.0,384.0
노원구,1,2018.0,59.0,18727.0,291.0
노원구,2,2018.0,60.0,18535.0,290.0
노원구,3,2018.0,61.0,19463.0,305.0
노원구,4,2018.0,60.0,18501.0,287.0
노원구,5,2018.0,60.0,18138.0,287.0
노원구,6,2018.0,60.0,18245.0,288.0
노원구,7,2018.0,58.0,17704.0,287.0
노원구,8,2018.0,60.0,18433.0,292.0
노원구,9,2018.0,60.0,19602.0,307.0
노원구,10,2018.0,60.0,19473.0,306.0
노원구,11,2018.0,61.0,20348.0,310.0
노원구,12,2018.0,62.0,20980.0,313.0
도봉구,1,2018.0,64.0,18212.0,275.0
도봉구,2,2018.0,62.0,18295.0,294.0
도봉구,3,2018.0,65.0,18609.0,282.0
도봉구,4,2018.0,63.0,16930.0,263.0
도봉구,5,2018.0,64.0,17638.0,262.0
도봉구,6,2018.0,64.0,17195.0,260.0
도봉구,7,2018.0,64.0,18435.0,280.0
도봉구,8,2018.0,66.0,19398.0,284.0
도봉구,9,2018.0,67.0,18947.0,276.0
도봉구,10,2018.0,65.0,18672.0,275.0
도봉구,11,2018.0,65.0,18250.0,276.0
도봉구,12,2018.0,66.0,19877.0,284.0
동대문구,1,2018.0,64.0,24452.0,368.0
동대문구,2,2018.0,70.0,25840.0,360.0
동대문구,3,2018.0,72.0,28976.0,397.0
동대문구,4,2018.0,73.0,29031.0,400.0
동대문구,5,2018.0,72.0,28402.0,394.0
동대문구,6,2018.0,69.0,30427.0,437.0
동대문구,7,2018.0,68.0,29631.0,428.0
동대문구,8,2018.0,74.0,31373.0,427.0
동대문구,9,2018.0,72.0,29598.0,423.0
동대문구,10,2018.0,69.0,27694.0,425.0
동대문구,11,2018.0,66.0,27165.0,432.0
동대문구,12,2018.0,63.0,24440.0,386.0
동작구,1,2018.0,77.0,36921.0,467.0
동작구,2,2018.0,78.0,39211.0,491.0
동작구,3,2018.0,78.0,38943.0,498.0
동작구,4,2018.0,78.0,39322.0,496.0
동작구,5,2018.0,78.0,39430.0,504.0
동작구,6,2018.0,77.0,38324.0,489.0
동작구,7,2018.0,79.0,39414.0,493.0
동작구,8,2018.0,77.0,41895.0,530.0
동작구,9,2018.0,75.0,37920.0,491.0
동작구,10,2018.0,77.0,42444.0,551.0
동작구,11,2018.0,77.0,39902.0,511.0
동작구,12,2018.0,74.0,38010.0,495.0
마포구,1,2018.0,72.0,37129.0,501.0
마포구,2,2018.0,73.0,38239.0,507.0
마포구,3,2018.0,74.0,37579.0,491.0
마포구,4,2018.0,74.0,37950.0,496.0
마포구,5,2018.0,75.0,39530.0,519.0
마포구,6,2018.0,74.0,38214.0,502.0
마포구,7,2018.0,73.0,38968.0,522.0
마포구,8,2018.0,73.0,38324.0,516.0
마포구,9,2018.0,74.0,38541.0,508.0
마포구,10,2018.0,74.0,41270.0,562.0
마포구,11,2018.0,73.0,40296.0,535.0
마포구,12,2018.0,72.0,36326.0,489.0
서대문구,1,2018.0,75.0,33989.0,458.0
서대문구,2,2018.0,75.0,32943.0,434.0
서대문구,3,2018.0,74.0,31363.0,429.0
서대문구,4,2018.0,75.0,33218.0,439.0
서대문구,5,2018.0,66.0,26433.0,377.0
서대문구,6,2018.0,73.0,30906.0,428.0
서대문구,7,2018.0,69.0,28087.0,404.0
서대문구,8,2018.0,71.0,33108.0,475.0
서대문구,9,2018.0,74.0,32727.0,440.0
서대문구,10,2018.0,73.0,32941.0,453.0
서대문구,11,2018.0,73.0,31062.0,414.0
서대문구,12,2018.0,75.0,33354.0,459.0
서초구,1,2018.0,87.0,52638.0,604.0
서초구,2,2018.0,86.0,48661.0,546.0
서초구,3,2018.0,90.0,56420.0,618.0
서초구,4,2018.0,87.0,51908.0,587.0
서초구,5,2018.0,86.0,52530.0,611.0
서초구,6,2018.0,90.0,55992.0,630.0
서초구,7,2018.0,90.0,61109.0,685.0
서초구,8,2018.0,89.0,59650.0,670.0
서초구,9,2018.0,86.0,56621.0,655.0
서초구,10,2018.0,87.0,58751.0,678.0
서초구,11,2018.0,88.0,62100.0,703.0
서초구,12,2018.0,90.0,64143.0,718.0
성동구,1,2018.0,77.0,42514.0,555.0
성동구,2,2018.0,77.0,41459.0,536.0
성동구,3,2018.0,75.0,39559.0,530.0
성동구,4,2018.0,77.0,40367.0,524.0
성동구,5,2018.0,75.0,39089.0,514.0
성동구,6,2018.0,77.0,39076.0,512.0
성동구,7,2018.0,78.0,42167.0,546.0
성동구,8,2018.0,78.0,41863.0,542.0
성동구,9,2018.0,75.0,41516.0,553.0
성동구,10,2018.0,76.0,40394.0,539.0
성동구,11,2018.0,75.0,43064.0,570.0
성동구,12,2018.0,75.0,43461.0,576.0
성북구,1,2018.0,72.0,28503.0,401.0
성북구,2,2018.0,75.0,29807.0,409.0
성북구,3,2018.0,78.0,31990.0,416.0
성북구,4,2018.0,78.0,30635.0,397.0
성북구,5,2018.0,76.0,30437.0,404.0
성북구,6,2018.0,74.0,28579.0,386.0
성북구,7,2018.0,70.0,27930.0,396.0
성북구,8,2018.0,76.0,30850.0,403.0
성북구,9,2018.0,77.0,33175.0,435.0
성북구,10,2018.0,75.0,31506.0,423.0
