,자치구별,본번,부번,전용면적(㎡),계약년월,보증금(만원),월세(만원),거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도,계약월
10,동대문구,473.0,4.0,66.0,202006.0,30672.0,21.0,30927.0,479.0,2020.0,6.0
11,동작구,519.0,4.0,75.0,202007.0,43731.0,22.0,43992.0,573.0,2020.0,7.0
12,마포구,623.0,2.0,64.0,202007.0,35818.0,27.0,36140.0,524.0,2020.0,7.0
13,서대문구,463.0,5.0,71.0,202006.0,35421.0,21.0,35670.0,502.0,2020.0,6.0
14,서초구,793.0,6.0,85.0,202007.0,64659.0,48.0,65236.0,765.0,2020.0,7.0
15,성동구,598.0,8.0,74.0,202006.0,46330.0,35.0,46748.0,623.0,2020.0,6.0
16,성북구,564.0,10.0,72.0,202006.0,33799.0,20.0,34033.0,465.0,2020.0,6.0
17,송파구,282.0,1.0,78.0,202007.0,50598.0,31.0,50972.0,651.0,2020.0,7.0
18,양천구,802.0,2.0,75.0,202007.0,41280.0,16.0,41473.0,529.0,2020.0,7.0
19,영등포구,1225.0,2.0,72.0,202006.0,36655.0,22.0,36916.0,509.0,2020.0,6.0
20,용산구,268.0,20.0,87.0,202007.0,50053.0,36.0,50481.0,583.0,2020.0,7.0
21,은평구,324.0,6.0,68.0,202006.0,29383.0,14.0,29552.0,441.0,2020.0,6.0
22,종로구,286.0,9.0,65.0,202006.0,33690.0,39.0,34157.0,487.0,2020.0,6.0
23,중구,867.0,29.0,66.0,202006.0,36196.0,32.0,36576.0,555.0,2020.0,6.0
24,중랑구,649.0,3.0,60.0,202006.0,23417.0,12.0,23564.0,394.0,2020.0,6.0
25,평균,622.0,7.0,70.0,202006.0,36566.0,20.0,36812.0,508.0,2020.0,6.0
0,강남구,539.0,3.0,81.0,202107.0,68800.0,73.0,69673.0,833.0,2021.0,7.0
1,강동구,425.0,2.0,63.0,202107.0,33287.0,19.0,33520.0,520.0,2021.0,7.0
2,강북구,817.0,6.0,66.0,202107.0,27063.0,0.0,27063.0,393.0,2021.0,7.0
3,강서구,808.0,4.0,60.0,202107.0,29314.0,0.0,29314.0,470.0,2021.0,7.0
4,관악구,1499.0,8.0,64.0,202107.0,30777.0,0.0,30777.0,459.0,2021.0,7.0
5,광진구,543.0,5.0,76.0,202107.0,50833.0,0.0,50833.0,667.0,2021.0,7.0
6,구로구,447.0,14.0,62.0,202107.0,24098.0,0.0,24098.0,364.0,2021.0,7.0
7,금천구,939.0,4.0,64.0,202106.0,24451.0,0.0,24451.0,403.0,2021.0,6.0
8,노원구,567.0,1.0,59.0,202107.0,23180.0,0.0,23180.0,367.0,2021.0,7.0
9,도봉구,382.0,4.0,64.0,202107.0,23354.0,0.0,23354.0,354.0,2021.0,7.0
10,동대문구,467.0,4.0,63.0,202107.0,31984.0,20.0,32225.0,516.0,2021.0,7.0
11,동작구,490.0,4.0,75.0,202107.0,48223.0,32.0,48605.0,635.0,2021.0,7.0
12,마포구,623.0,2.0,69.0,202107.0,42087.0,39.0,42561.0,591.0,2021.0,7.0
13,서대문구,417.0,5.0,70.0,202107.0,38568.0,28.0,38904.0,537.0,2021.0,7.0
14,서초구,805.0,6.0,84.0,202107.0,68735.0,70.0,69574.0,804.0,2021.0,7.0
15,성동구,620.0,9.0,76.0,202107.0,50036.0,54.0,50688.0,665.0,2021.0,7.0
16,성북구,561.0,11.0,69.0,202107.0,35058.0,24.0,35351.0,500.0,2021.0,7.0
17,송파구,345.0,1.0,77.0,202107.0,52510.0,11.0,52639.0,673.0,2021.0,7.0
18,양천구,849.0,2.0,72.0,202107.0,41526.0,0.0,41526.0,535.0,2021.0,7.0
19,영등포구,1066.0,3.0,72.0,202107.0,40235.0,2.0,40254.0,555.0,2021.0,7.0
20,용산구,269.0,18.0,86.0,202107.0,55333.0,64.0,56096.0,630.0,2021.0,7.0
21,은평구,336.0,4.0,65.0,202107.0,29982.0,21.0,30232.0,448.0,2021.0,7.0
22,종로구,263.0,5.0,69.0,202107.0,41325.0,50.0,41921.0,577.0,2021.0,7.0
23,중구,777.0,25.0,64.0,202107.0,37359.0,46.0,37916.0,574.0,2021.0,7.0
24,중랑구,558.0,5.0,60.0,202107.0,25828.0,19.0,26061.0,423.0,2021.0,7.0
25,평균,616.0,6.0,69.0,202107.0,38958.0,23.0,39233.0,540.0,2021.0,7.0
0,강남구,532.0,3.0,80.0,202206.0,65793.0,83.0,66791.0,795.0,2022.0,6.0
1,강동구,436.0,2.0,66.0,202206.0,36132.0,31.0,36500.0,545.0,2022.0,6.0
2,강북구,802.0,6.0,60.0,202206.0,23615.0,2.0,23636.0,376.0,2022.0,6.0
3,강서구,808.0,4.0,62.0,202207.0,29461.0,0.0,29461.0,464.0,2022.0,7.0
4,관악구,1513.0,7.0,61.0,202207.0,28381.0,0.0,28381.0,441.0,2022.0,7.0
5,광진구,536.0,5.0,75.0,202206.0,49636.0,0.0,49636.0,641.0,2022.0,6.0
6,구로구,487.0,14.0,65.0,202206.0,25129.0,0.0,25129.0,370.0,2022.0,6.0
7,금천구,818.0,5.0,60.0,202206.0,25982.0,0.0,25982.0,438.0,2022.0,6.0
8,노원구,577.0,1.0,58.0,202206.0,21829.0,0.0,21829.0,347.0,2022.0,6.0
9,도봉구,378.0,3.0,61.0,202206.0,20989.0,0.0,20989.0,323.0,2022.0,6.0
10,동대문구,488.0,4.0,63.0,202207.0,31862.0,0.0,31862.0,503.0,2022.0,7.0
11,동작구,518.0,4.0,73.0,202206.0,44899.0,0.0,44899.0,586.0,2022.0,6.0
12,마포구,654.0,2.0,68.0,202206.0,40110.0,0.0,40110.0,554.0,2022.0,6.0
13,서대문구,429.0,5.0,67.0,202206.0,35278.0,25.0,35583.0,512.0,2022.0,6.0
14,서초구,784.0,6.0,84.0,202207.0,69476.0,81.0,70444.0,822.0,2022.0,7.0
15,성동구,605.0,8.0,74.0,202206.0,48212.0,64.0,48979.0,658.0,2022.0,6.0
16,성북구,588.0,9.0,69.0,202206.0,33156.0,33.0,33547.0,475.0,2022.0,6.0
17,송파구,322.0,1.0,76.0,202206.0,50627.0,51.0,51240.0,662.0,2022.0,6.0
18,양천구,827.0,2.0,72.0,202207.0,41846.0,28.0,42180.0,544.0,2022.0,7.0
19,영등포구,1100.0,3.0,69.0,202206.0,38337.0,34.0,38742.0,556.0,2022.0,6.0
20,용산구,252.0,20.0,78.0,202207.0,46725.0,84.0,47733.0,573.0,2022.0,7.0
21,은평구,336.0,4.0,62.0,202207.0,29152.0,21.0,29407.0,462.0,2022.0,7.0
22,종로구,262.0,6.0,70.0,202206.0,37871.0,0.0,37871.0,518.0,2022.0,6.0
23,중구,777.0,33.0,67.0,202206.0,36806.0,0.0,36806.0,545.0,2022.0,6.0
24,중랑구,648.0,4.0,59.0,202206.0,23334.0,0.0,23334.0,380.0,2022.0,6.0
25,평균,619.0,6.0,68.0,202206.0,37386.0,21.0,37643.0,524.0,2022.0,6.0
