자치구별,계약월,본번,부번,전용면적(㎡),계약년월,보증금(만원),월세(만원),거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도
강남구,1,505.0,3.0,85.0,201801.0,55590.0,48.0,56160.0,656.0,2018.0
강남구,2,490.0,3.0,83.0,201802.0,57030.0,39.0,57501.0,679.0,2018.0
강남구,3,490.0,4.0,82.0,201803.0,54799.0,39.0,55266.0,657.0,2018.0
강남구,4,487.0,4.0,83.0,201804.0,55510.0,45.0,56050.0,664.0,2018.0
강남구,5,502.0,3.0,83.0,201805.0,52595.0,38.0,53045.0,621.0,2018.0
강남구,6,506.0,3.0,85.0,201806.0,56990.0,44.0,57518.0,673.0,2018.0
강남구,7,502.0,4.0,84.0,201807.0,57349.0,40.0,57824.0,680.0,2018.0
강남구,8,496.0,4.0,84.0,201808.0,56507.0,44.0,57035.0,668.0,2018.0
강남구,9,505.0,4.0,85.0,201809.0,56215.0,46.0,56767.0,667.0,2018.0
강남구,10,507.0,3.0,86.0,201810.0,58609.0,45.0,59155.0,675.0,2018.0
강남구,11,532.0,2.0,83.0,201811.0,49918.0,47.0,50482.0,592.0,2018.0
강남구,12,529.0,3.0,87.0,201812.0,61118.0,45.0,61663.0,698.0,2018.0
강동구,1,395.0,3.0,70.0,201801.0,33753.0,16.0,33946.0,480.0,2018.0
강동구,2,406.0,3.0,71.0,201802.0,31610.0,17.0,31814.0,433.0,2018.0
강동구,3,377.0,4.0,74.0,201803.0,34759.0,14.0,34922.0,478.0,2018.0
강동구,4,366.0,6.0,70.0,201804.0,32728.0,12.0,32867.0,471.0,2018.0
강동구,5,386.0,5.0,69.0,201805.0,30672.0,15.0,30853.0,450.0,2018.0
강동구,6,411.0,4.0,72.0,201806.0,32191.0,16.0,32381.0,450.0,2018.0
강동구,7,385.0,5.0,72.0,201807.0,33417.0,17.0,33620.0,469.0,2018.0
강동구,8,395.0,3.0,74.0,201808.0,36033.0,13.0,36185.0,488.0,2018.0
강동구,9,372.0,4.0,73.0,201809.0,34934.0,15.0,35117.0,477.0,2018.0
강동구,10,405.0,3.0,73.0,201810.0,34797.0,15.0,34983.0,470.0,2018.0
강동구,11,408.0,4.0,74.0,201811.0,36222.0,15.0,36400.0,494.0,2018.0
강동구,12,451.0,3.0,73.0,201812.0,37760.0,14.0,37928.0,520.0,2018.0
강북구,1,839.0,2.0,73.0,201801.0,21722.0,28.0,22056.0,297.0,2018.0
강북구,2,754.0,7.0,71.0,201802.0,24219.0,18.0,24433.0,332.0,2018.0
강북구,3,770.0,3.0,74.0,201803.0,25277.0,16.0,25468.0,339.0,2018.0
강북구,4,754.0,6.0,73.0,201804.0,24886.0,15.0,25064.0,343.0,2018.0
강북구,5,807.0,5.0,73.0,201805.0,25008.0,14.0,25171.0,339.0,2018.0
강북구,6,749.0,9.0,71.0,201806.0,25883.0,14.0,26047.0,363.0,2018.0
강북구,7,847.0,3.0,70.0,201807.0,21996.0,16.0,22186.0,306.0,2018.0
강북구,8,821.0,8.0,73.0,201808.0,24627.0,17.0,24834.0,331.0,2018.0
강북구,9,801.0,8.0,72.0,201809.0,26462.0,10.0,26579.0,363.0,2018.0
강북구,10,738.0,8.0,74.0,201810.0,26232.0,16.0,26422.0,353.0,2018.0
강북구,11,807.0,3.0,74.0,201811.0,25154.0,14.0,25321.0,335.0,2018.0
강북구,12,775.0,4.0,71.0,201812.0,25187.0,16.0,25375.0,351.0,2018.0
