자치구별,본번,부번,전용면적(㎡),계약년월,보증금(만원),월세(만원),거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도,계약월
강남구,539.0,3.0,81.0,202107.0,68800.0,73.0,69673.0,833.0,2021.0,7.0
강동구,425.0,2.0,63.0,202107.0,33287.0,19.0,33520.0,520.0,2021.0,7.0
강북구,817.0,6.0,66.0,202107.0,27063.0,0.0,27063.0,393.0,2021.0,7.0
강서구,808.0,4.0,60.0,202107.0,29314.0,0.0,29314.0,470.0,2021.0,7.0
관악구,1499.0,8.0,64.0,202107.0,30777.0,0.0,30777.0,459.0,2021.0,7.0
광진구,543.0,5.0,76.0,202107.0,50833.0,0.0,50833.0,667.0,2021.0,7.0
구로구,447.0,14.0,62.0,202107.0,24098.0,0.0,24098.0,364.0,2021.0,7.0
금천구,939.0,4.0,64.0,202106.0,24451.0,0.0,24451.0,403.0,2021.0,6.0
노원구,567.0,1.0,59.0,202107.0,23180.0,0.0,23180.0,367.0,2021.0,7.0
도봉구,382.0,4.0,64.0,202107.0,23354.0,0.0,23354.0,354.0,2021.0,7.0
동대문구,467.0,4.0,63.0,202107.0,31984.0,20.0,32225.0,516.0,2021.0,7.0
동작구,490.0,4.0,75.0,202107.0,48223.0,32.0,48605.0,635.0,2021.0,7.0
마포구,623.0,2.0,69.0,202107.0,42087.0,39.0,42561.0,591.0,2021.0,7.0
서대문구,417.0,5.0,70.0,202107.0,38568.0,28.0,38904.0,537.0,2021.0,7.0
서초구,805.0,6.0,84.0,202107.0,68735.0,70.0,69574.0,804.0,2021.0,7.0
성동구,620.0,9.0,76.0,202107.0,50036.0,54.0,50688.0,665.0,2021.0,7.0
성북구,561.0,11.0,69.0,202107.0,35058.0,24.0,35351.0,500.0,2021.0,7.0
송파구,345.0,1.0,77.0,202107.0,52510.0,11.0,52639.0,673.0,2021.0,7.0
양천구,849.0,2.0,72.0,202107.0,41526.0,0.0,41526.0,535.0,2021.0,7.0
영등포구,1066.0,3.0,72.0,202107.0,40235.0,2.0,40254.0,555.0,2021.0,7.0
용산구,269.0,18.0,86.0,202107.0,55333.0,64.0,56096.0,630.0,2021.0,7.0
은평구,336.0,4.0,65.0,202107.0,29982.0,21.0,30232.0,448.0,2021.0,7.0
종로구,263.0,5.0,69.0,202107.0,41325.0,50.0,41921.0,577.0,2021.0,7.0
중구,777.0,25.0,64.0,202107.0,37359.0,46.0,37916.0,574.0,2021.0,7.0
중랑구,558.0,5.0,60.0,202107.0,25828.0,19.0,26061.0,423.0,2021.0,7.0
평균,616.0,6.0,69.0,202107.0,38958.0,23.0,39233.0,540.0,2021.0,7.0
