자치구별,계약월,본번,부번,전용면적(㎡),계약년월,보증금(만원),월세(만원),거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도
강남구,1,554.0,3.0,81.0,202101.0,69915.0,60.0,70633.0,860.0,2021.0
강남구,2,541.0,3.0,80.0,202102.0,67237.0,57.0,67918.0,819.0,2021.0
강남구,3,530.0,3.0,78.0,202103.0,65918.0,54.0,66568.0,824.0,2021.0
강남구,4,538.0,4.0,79.0,202104.0,61743.0,59.0,62454.0,747.0,2021.0
강남구,5,571.0,3.0,83.0,202105.0,71092.0,58.0,71784.0,837.0,2021.0
강남구,6,568.0,3.0,74.0,202106.0,60914.0,67.0,61722.0,789.0,2021.0
강남구,7,531.0,3.0,81.0,202107.0,70242.0,74.0,71125.0,857.0,2021.0
강남구,8,530.0,2.0,79.0,202108.0,62830.0,74.0,63723.0,760.0,2021.0
강남구,9,538.0,3.0,83.0,202109.0,73366.0,82.0,74346.0,878.0,2021.0
강남구,10,520.0,3.0,82.0,202110.0,73086.0,83.0,74084.0,876.0,2021.0
강남구,11,537.0,3.0,85.0,202111.0,75145.0,94.0,76267.0,877.0,2021.0
강남구,12,525.0,3.0,82.0,202112.0,70495.0,85.0,71520.0,841.0,2021.0
강동구,1,393.0,3.0,61.0,202101.0,33580.0,21.0,33829.0,521.0,2021.0
강동구,2,431.0,3.0,67.0,202102.0,38923.0,20.0,39163.0,589.0,2021.0
강동구,3,463.0,2.0,67.0,202103.0,29578.0,14.0,29751.0,438.0,2021.0
강동구,4,321.0,2.0,58.0,202104.0,27901.0,18.0,28121.0,433.0,2021.0
강동구,5,470.0,2.0,64.0,202105.0,34780.0,15.0,34963.0,544.0,2021.0
강동구,6,306.0,2.0,54.0,202106.0,26182.0,17.0,26383.0,452.0,2021.0
강동구,7,419.0,3.0,64.0,202107.0,39036.0,19.0,39259.0,633.0,2021.0
강동구,8,444.0,2.0,60.0,202108.0,28689.0,18.0,28910.0,466.0,2021.0
강동구,9,472.0,2.0,65.0,202109.0,36174.0,20.0,36416.0,554.0,2021.0
강동구,10,486.0,2.0,66.0,202110.0,35904.0,24.0,36186.0,526.0,2021.0
강동구,11,479.0,3.0,69.0,202111.0,42512.0,21.0,42766.0,638.0,2021.0
강동구,12,446.0,2.0,62.0,202112.0,33652.0,25.0,33955.0,534.0,2021.0
강북구,1,759.0,8.0,66.0,202101.0,29392.0,0.0,29392.0,438.0,2021.0
강북구,2,782.0,5.0,69.0,202102.0,28749.0,0.0,28749.0,411.0,2021.0
강북구,3,788.0,7.0,67.0,202103.0,29749.0,0.0,29749.0,442.0,2021.0
강북구,4,861.0,6.0,73.0,202104.0,31606.0,0.0,31606.0,415.0,2021.0
강북구,5,748.0,1.0,75.0,202105.0,32009.0,0.0,32009.0,422.0,2021.0
강북구,6,665.0,4.0,69.0,202106.0,29220.0,0.0,29220.0,413.0,2021.0
강북구,7,923.0,6.0,57.0,202107.0,20001.0,0.0,20001.0,295.0,2021.0
강북구,8,856.0,3.0,74.0,202108.0,33062.0,0.0,33062.0,462.0,2021.0
강북구,9,806.0,12.0,60.0,202109.0,22714.0,0.0,22714.0,346.0,2021.0
강북구,10,788.0,11.0,67.0,202110.0,28222.0,0.0,28222.0,436.0,2021.0
강북구,11,789.0,3.0,63.0,202111.0,23971.0,0.0,23971.0,364.0,2021.0
강북구,12,930.0,6.0,66.0,202112.0,26079.0,0.0,26079.0,381.0,2021.0
강서구,1,783.0,6.0,61.0,202101.0,31245.0,0.0,31245.0,492.0,2021.0
강서구,2,776.0,4.0,61.0,202102.0,29195.0,0.0,29195.0,456.0,2021.0
강서구,3,795.0,6.0,62.0,202103.0,33119.0,0.0,33119.0,528.0,2021.0
강서구,4,781.0,2.0,56.0,202104.0,21278.0,0.0,21278.0,354.0,2021.0
강서구,5,808.0,5.0,64.0,202105.0,34862.0,0.0,34862.0,551.0,2021.0
강서구,6,815.0,4.0,63.0,202106.0,31757.0,0.0,31757.0,497.0,2021.0
